participantNumber,rewardType,handShow,jointAgency,aligned(jointAgency) for rewardType,aligned(jointAgency) for handShow,aligned(jointAgency) for rewardType*handShow,ART(jointAgency) for rewardType,ART(jointAgency) for handShow,ART(jointAgency) for rewardType*handShow
P16,1.0,1.0,6.684210526315789,-0.3438049072530501875000,-0.9704530396208758609375,-1.2400295374560085812500,44,37,30
P17,0.0,0.0,6.4,-0.2643495743860972218750,0.3622985579817284515625,0.4563879193293376968750,48,66,68
P17,0.0,1.0,6.0,-1.2035025700563626625000,-0.2131885785057950234375,-0.3072779398534042687500,29,54,52
P17,1.0,0.0,6.315789473684211,-0.5240472371894096968750,-1.5143612287399773359375,-1.2447847309048446156250,42,23,29
P17,1.0,1.0,6.333333333333333,-0.6946821002355061875000,-1.3213302326033318609375,-1.5909067304384645812500,39.5,25.5,24.5
P18,0.0,0.0,7.5,0.8356504256139027781250,1.4622985579817284515625,1.5563879193293376968750,74,108,108
P18,0.0,1.0,7.1,-0.1035025700563626625000,0.8868114214942049765625,0.7927220601465957312500,53,79,80
P18,1.0,0.0,8.210526315789474,1.3706896049158533031250,0.3803756133652856640625,0.6499521112004183843750,88,69,75
P18,1.0,1.0,7.666666666666667,0.6386512330978278125000,0.0120031007300021390625,-0.2575733971051305812500,67.5,57.5,54.5
P19,0.0,0.0,9.0,2.3356504256139027781250,2.9622985579817284515625,3.0563879193293376968750,126.5,126.5,126.5
P19,0.0,1.0,9.0,1.7964974299436373375000,2.7868114214942049765625,2.6927220601465957312500,97.5,120.5,119.5
P19,1.0,0.0,9.0,2.1601632891263793031250,1.1698492975758116640625,1.4394257954109443843750,120.5,91.5,103.5
P19,1.0,1.0,8.789473684210526,1.7614582506416868125000,1.1348101182738611390625,0.8652336204387284187500,94,88,82
P20,0.0,0.0,1.0,-5.6643495743860972218750,-5.0377014420182715484375,-4.9436120806706623031250,2.5,1.5,2.5
P20,0.0,1.0,4.7,-2.5035025700563626625000,-1.5131885785057950234375,-1.6072779398534042687500,16,24,23
P20,1.0,0.0,7.8,0.9601632891263793031250,-0.0301507024241883359375,0.2394257954109443843750,75.5,55.5,59.5
P20,1.0,1.0,9.0,1.9719845664311608125000,1.3453364340633351390625,1.0757599362282024187500,108.5,102.5,90.5
P21,0.0,0.0,9.0,2.3356504256139027781250,2.9622985579817284515625,3.0563879193293376968750,126.5,126.5,126.5
P21,0.0,1.0,9.0,1.7964974299436373375000,2.7868114214942049765625,2.6927220601465957312500,97.5,120.5,119.5
P21,1.0,0.0,9.0,2.1601632891263793031250,1.1698492975758116640625,1.4394257954109443843750,120.5,91.5,103.5
P21,1.0,1.0,9.0,1.9719845664311608125000,1.3453364340633351390625,1.0757599362282024187500,108.5,102.5,90.5
P22,0.0,0.0,7.777777777777778,1.1134282033916807781250,1.7400763357595064515625,1.8341656971071156968750,78,111,112
P22,0.0,1.0,8.0,0.7964974299436373375000,1.7868114214942049765625,1.6927220601465957312500,72,112,111
P22,1.0,0.0,8.0,1.1601632891263793031250,0.1698492975758116640625,0.4394257954109443843750,79,60,67
P22,1.0,1.0,8.0,0.9719845664311608125000,0.3453364340633351390625,0.0757599362282024187500,77,64,58
P23,0.0,0.0,5.473684210526316,-1.1906653638597812218750,-0.5640172314919555484375,-0.4699278701443463031250,30,43,48
P23,0.0,1.0,6.230769230769231,-0.9727333392871316625000,0.0175806522634359765625,-0.0765087090841732687500,34,59,57
P23,1.0,0.0,5.7,-1.1398367108736206968750,-2.1301507024241883359375,-1.8605742045890556156250,31,16,20
P23,1.0,1.0,6.133333333333334,-0.8946821002355051875000,-1.5213302326033308609375,-1.7909067304384635812500,37,22,21
P24,0.0,0.0,9.0,2.3356504256139027781250,2.9622985579817284515625,3.0563879193293376968750,126.5,126.5,126.5
P24,0.0,1.0,8.538461538461538,1.3349589684051753375000,2.3252729599557429765625,2.2311835986081337312500,85,114,114
P24,1.0,0.0,8.95,2.1101632891263793031250,1.1198492975758116640625,1.3894257954109443843750,116.5,86.5,98.5
P24,1.0,1.0,9.0,1.9719845664311608125000,1.3453364340633351390625,1.0757599362282024187500,108.5,102.5,90.5
P25,0.0,0.0,8.95,2.2856504256139027781250,2.9122985579817284515625,3.0063879193293376968750,124,124,124
P25,0.0,1.0,9.0,1.7964974299436373375000,2.7868114214942049765625,2.6927220601465957312500,97.5,120.5,119.5
P25,1.0,0.0,8.9,2.0601632891263793031250,1.0698492975758116640625,1.3394257954109443843750,114.5,84.5,95.5
P25,1.0,1.0,9.0,1.9719845664311608125000,1.3453364340633351390625,1.0757599362282024187500,108.5,102.5,90.5
P26,0.0,0.0,3.6,-3.0643495743860972218750,-2.4377014420182715484375,-2.3436120806706623031250,11,13,13
P26,0.0,1.0,4.3,-2.9035025700563626625000,-1.9131885785057950234375,-2.0072779398534042687500,13,20,18
P26,1.0,0.0,6.8,-0.0398367108736206968750,-1.0301507024241883359375,-0.7605742045890556156250,57,35,39
P26,1.0,1.0,7.2105263157894735,0.1825108822206343125000,-0.4441372501471913609375,-0.7137137479823240812500,60,49,41
P27,0.0,0.0,5.533333333333333,-1.1310162410527642218750,-0.5043681086849385484375,-0.4102787473373293031250,33,47,50
P27,0.0,1.0,2.8947368421052633,-4.3087657279510993625000,-3.3184517364005317234375,-3.4125410977481409687500,9,10,10
P27,1.0,0.0,8.2,1.3601632891263793031250,0.3698492975758116640625,0.6394257954109443843750,87,67,74
P27,1.0,1.0,6.0588235294117645,-0.9691919041570746875000,-1.5958400365249003609375,-1.8654165343600330812500,35,21,19
P28,0.0,0.0,7.333333333333333,0.6689837589472357781250,1.2956318913150614515625,1.3897212526626706968750,69,99,100
P28,0.0,1.0,7.157894736842105,-0.0456078332142576625000,0.9447061583363099765625,0.8506167969887007312500,56,80,81
P28,1.0,0.0,9.0,2.1601632891263793031250,1.1698492975758116640625,1.4394257954109443843750,120.5,91.5,103.5
P28,1.0,1.0,9.0,1.9719845664311608125000,1.3453364340633351390625,1.0757599362282024187500,108.5,102.5,90.5
P29,0.0,0.0,7.470588235294118,0.8062386609080207781250,1.4328867932758464515625,1.5269761546234556968750,73,106,107
P29,0.0,1.0,8.5,1.2964974299436373375000,2.2868114214942049765625,2.1927220601465957312500,84,113,113
P29,1.0,0.0,8.823529411764707,1.9836927008910863031250,0.9933787093405186640625,1.2629552071756513843750,112,82,94
P29,1.0,1.0,7.333333333333333,0.3053178997644938125000,-0.3213302326033318609375,-0.5909067304384645812500,61,50,45
P30,0.0,0.0,6.411764705882353,-0.2525848685037442218750,0.3740632638640814515625,0.4681526252116906968750,49,68,69
P30,0.0,1.0,7.666666666666667,0.4631640966103043375000,1.4534780881608719765625,1.3593887268132627312500,66,107,97
P30,1.0,0.0,7.294117647058823,0.4542809361852023031250,-0.5360330553653653359375,-0.2664565575302326156250,65,45,53
P30,1.0,1.0,8.2,1.1719845664311608125000,0.5453364340633351390625,0.2757599362282024187500,80.5,73.5,61.5
P31,0.0,0.0,5.333333333333333,-1.3310162410527642218750,-0.7043681086849385484375,-0.6102787473373293031250,27,41,44
P31,0.0,1.0,5.071428571428571,-2.1320739986277916625000,-1.1417600070772240234375,-1.2358493684248332687500,19,32,31
P31,1.0,0.0,6.588235294117647,-0.2516014167559736968750,-1.2419154083065413359375,-0.9723389104714086156250,50,30,35
P31,1.0,1.0,6.333333333333333,-0.6946821002355061875000,-1.3213302326033318609375,-1.5909067304384645812500,39.5,25.5,24.5
P32,0.0,0.0,1.7777777777777777,-4.8865717966083195218750,-4.2599236642404938484375,-4.1658343028928846031250,6,6,6
P32,0.0,1.0,2.4285714285714284,-4.7749311414849342625000,-3.7846171499343666234375,-3.8787065112819758687500,7,8,7
P32,1.0,0.0,8.176470588235293,1.3366338773616723031250,0.3463198858111046640625,0.6158963836462373843750,86,65,72
P32,1.0,1.0,8.2,1.1719845664311608125000,0.5453364340633351390625,0.2757599362282024187500,80.5,73.5,61.5
