partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P07,0,0,0,1,14,8,6,FALSE,FALSE,23.01351,8,4,0,0,7,7,4,0,0
P07,1,0,0,1,11,11,0,TRUE,TRUE,17.75052,11,5,7,3,9,9,8,7,3
P07,2,0,0,1,8,6,2,FALSE,FALSE,23.01289,6,6,0,0,7,6,4,7,3
P07,3,0,0,1,11,9,2,TRUE,TRUE,17.93142,9,7,6,4,7,7,6,13,7
P07,4,0,0,1,12,6,6,FALSE,FALSE,23.01276,6,6,0,0,8,7,5,13,7
P07,5,0,0,1,9,7,2,TRUE,TRUE,15.89751,7,9,4,6,7,7,6,17,13
P07,6,0,0,1,9,9,0,TRUE,TRUE,14.06093,9,7,6,4,7,6,4,23,17
P07,7,0,0,1,13,9,4,TRUE,TRUE,16.90125,9,7,6,4,7,6,6,29,21
P07,8,0,0,1,11,9,2,TRUE,TRUE,21.91316,9,7,6,4,6,7,6,35,25
P07,9,0,0,1,16,6,10,FALSE,FALSE,23.01303,6,4,0,0,5,3,4,35,25
P07,10,0,0,1,11,11,0,TRUE,TRUE,16.60851,11,5,7,3,7,7,6,42,28
P07,11,0,0,1,12,8,4,FALSE,FALSE,23.01262,8,4,0,0,7,3,3,42,28
P07,12,0,0,1,11,11,0,TRUE,TRUE,16.44151,11,5,7,3,7,7,8,49,31
P07,13,0,0,1,13,7,6,TRUE,TRUE,21.73223,7,9,4,6,5,6,6,53,37
P07,14,0,0,1,11,11,0,TRUE,TRUE,20.81304,11,5,7,3,7,7,7,60,40
P07,15,0,0,1,11,11,0,TRUE,TRUE,14.5323,11,5,7,3,8,7,8,67,43
P07,16,0,0,1,11,9,2,TRUE,TRUE,16.01031,9,7,6,4,6,6,6,73,47
P07,17,0,0,1,9,9,0,TRUE,TRUE,12.61292,9,7,6,4,7,6,6,79,51
P07,18,0,0,1,13,11,2,TRUE,TRUE,16.64893,11,5,7,3,7,6,6,86,54
P07,19,0,0,1,11,9,2,TRUE,TRUE,15.03519,9,7,6,4,7,7,7,92,58
P07,20,1,1,1,15,9,6,TRUE,TRUE,21.4002,9,7,5,5,6,8,6,97,63
P07,21,1,1,1,14,8,6,FALSE,TRUE,21.96891,8,8,5,5,7,8,6,102,68
P07,22,1,1,1,13,11,2,TRUE,TRUE,18.72503,11,5,5,5,7,7,6,107,73
P07,23,1,1,1,11,11,0,TRUE,TRUE,15.77396,11,5,5,5,7,8,5,112,78
P07,24,1,1,1,9,9,0,TRUE,TRUE,10.8865,9,7,5,5,7,6,1,117,83
P07,25,1,1,1,14,8,6,FALSE,TRUE,21.30036,8,8,5,5,8,8,9,122,88
P07,26,1,1,1,11,7,4,TRUE,TRUE,19.65742,7,9,5,5,8,9,7,127,93
P07,27,1,1,1,11,9,2,TRUE,TRUE,18.00094,9,7,5,5,7,1,6,132,98
P07,28,1,1,1,11,11,0,TRUE,TRUE,13.71332,11,5,5,5,8,8,6,137,103
P07,29,1,1,1,13,9,4,TRUE,TRUE,16.88736,9,7,5,5,6,7,5,142,108
P07,30,1,1,1,11,9,2,TRUE,TRUE,18.23797,9,7,5,5,7,6,8,147,113
P07,31,1,1,1,15,11,4,TRUE,TRUE,20.59043,11,5,5,5,7,1,7,152,118
P07,32,1,1,1,11,9,2,TRUE,TRUE,19.3514,9,7,5,5,7,5,6,157,123
P07,33,1,1,1,9,9,0,TRUE,TRUE,13.92188,9,7,5,5,7,6,7,162,128
P07,34,1,1,1,11,9,2,TRUE,TRUE,15.98203,9,7,5,5,7,6,7,167,133
P07,35,1,1,1,9,9,0,TRUE,TRUE,12.11205,9,7,5,5,7,6,6,172,138
P07,36,1,1,1,13,11,2,TRUE,TRUE,20.4655,11,5,5,5,6,6,6,177,143
P07,37,1,1,1,13,11,2,TRUE,TRUE,17.82009,11,5,5,5,7,6,6,182,148
P07,38,1,1,1,11,9,2,TRUE,TRUE,15.07722,9,7,5,5,7,7,6,187,153
P07,39,1,1,1,12,10,2,FALSE,TRUE,17.34662,10,6,5,5,5,6,6,192,158
P07,40,2,0,0,18,16,2,FALSE,TRUE,22.24686,16,0,9,1,7,1,9,201,159
P07,41,2,0,0,12,10,2,FALSE,TRUE,16.23314,10,6,7,3,8,6,7,208,162
P07,42,2,0,0,14,4,10,FALSE,FALSE,23.01283,4,8,0,0,6,3,4,208,162
P07,43,2,0,0,14,8,6,FALSE,TRUE,23.01289,8,8,5,5,3,6,4,213,167
P07,44,2,0,0,10,8,2,FALSE,TRUE,21.10546,8,8,5,5,4,6,5,218,172
P07,45,2,0,0,12,12,0,FALSE,TRUE,18.89208,12,4,8,2,6,6,4,226,174
P07,46,2,0,0,13,13,0,TRUE,TRUE,19.8113,13,3,8,2,7,7,6,234,176
P07,47,2,0,0,16,12,4,FALSE,TRUE,21.6482,12,4,8,2,6,5,6,242,178
P07,48,2,0,0,12,10,2,FALSE,TRUE,19.2929,10,6,7,3,7,6,6,249,181
P07,49,2,0,0,10,10,0,FALSE,TRUE,17.91745,10,6,7,3,6,6,4,256,184
P07,50,2,0,0,15,11,4,TRUE,TRUE,20.81287,11,5,7,3,8,6,6,263,187
P07,51,2,0,0,12,10,2,FALSE,TRUE,20.50661,10,6,7,3,7,7,5,270,190
P07,52,2,0,0,12,10,2,FALSE,TRUE,23.01299,10,6,7,3,5,6,3,277,193
P07,53,2,0,0,12,8,4,FALSE,TRUE,23.01247,8,8,5,5,5,6,3,282,198
P07,54,2,0,0,12,10,2,FALSE,TRUE,20.66015,10,6,7,3,7,6,6,289,201
P07,55,2,0,0,10,8,2,FALSE,TRUE,17.75063,8,8,5,5,6,5,6,294,206
P07,56,2,0,0,9,9,0,TRUE,TRUE,13.44886,9,7,6,4,6,6,5,300,210
P07,57,2,0,0,10,8,2,FALSE,TRUE,14.45084,8,8,5,5,1,6,5,305,215
P07,58,2,0,0,12,10,2,FALSE,FALSE,23.01291,10,4,0,0,8,6,7,305,215
P07,59,2,0,0,16,8,8,FALSE,FALSE,23.01271,6,6,0,0,6,6,6,305,215
P07,60,3,1,0,13,9,4,TRUE,TRUE,18.34864,9,7,5,5,6,7,6,310,220
P07,61,3,1,0,10,8,2,FALSE,TRUE,21.81527,8,8,5,5,7,4,6,315,225
P07,62,3,1,0,12,10,2,FALSE,TRUE,16.80337,10,6,5,5,6,7,5,320,230
P07,63,3,1,0,14,4,10,FALSE,FALSE,23.01376,2,4,0,0,7,2,7,320,230
P07,64,3,1,0,11,11,0,TRUE,TRUE,14.28369,11,5,5,5,5,7,5,325,235
P07,65,3,1,0,14,8,6,FALSE,FALSE,23.01302,6,6,0,0,7,3,6,325,235
P07,66,3,1,0,8,8,0,FALSE,TRUE,12.61329,8,8,5,5,7,8,5,330,240
P07,67,3,1,0,12,8,4,FALSE,TRUE,19.00291,8,8,5,5,7,6,4,335,245
P07,68,3,1,0,14,10,4,FALSE,TRUE,23.01257,10,6,5,5,7,6,5,340,250
P07,69,3,1,0,12,8,4,FALSE,TRUE,16.8732,8,8,5,5,7,6,7,345,255
P07,70,3,1,0,11,11,0,TRUE,TRUE,14.06096,11,5,5,5,6,7,4,350,260
