partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P25,0,0,1,1,8,8,0,FALSE,TRUE,15.68935,8,8,5,5,9,9,9,5,5
P25,1,0,1,1,8,8,0,FALSE,TRUE,13.93559,8,8,5,5,9,9,1,10,10
P25,2,0,1,1,8,8,0,FALSE,TRUE,19.40655,8,8,5,5,9,9,9,15,15
P25,3,0,1,1,8,8,0,FALSE,TRUE,14.01927,8,8,5,5,9,9,9,20,20
P25,4,0,1,1,8,8,0,FALSE,TRUE,17.66383,8,8,5,5,9,9,9,25,25
P25,5,0,1,1,12,8,4,FALSE,TRUE,23.01204,8,8,5,5,9,9,7,30,30
P25,6,0,1,1,10,8,2,FALSE,TRUE,17.91438,8,8,5,5,9,9,9,35,35
P25,7,0,1,1,12,8,4,FALSE,TRUE,22.97119,8,8,5,5,9,9,9,40,40
P25,8,0,1,1,10,4,6,FALSE,FALSE,23.01235,4,6,0,0,9,9,9,40,40
P25,9,0,1,1,12,10,2,FALSE,TRUE,21.09133,10,6,5,5,9,9,9,45,45
P25,10,0,1,1,8,8,0,FALSE,TRUE,12.89126,8,8,5,5,9,9,9,50,50
P25,11,0,1,1,8,8,0,FALSE,TRUE,13.76855,8,8,5,5,9,9,9,55,55
P25,12,0,1,1,10,8,2,FALSE,TRUE,19.35106,8,8,5,5,9,9,4,60,60
P25,13,0,1,1,8,8,0,FALSE,TRUE,12.75236,8,8,5,5,9,9,9,65,65
P25,14,0,1,1,10,8,2,FALSE,TRUE,16.4696,8,8,5,5,9,9,9,70,70
P25,15,0,1,1,8,8,0,FALSE,TRUE,13.44803,8,8,5,5,9,9,9,75,75
P25,16,0,1,1,10,8,2,FALSE,TRUE,20.00297,8,8,5,5,9,9,9,80,80
P25,17,0,1,1,7,7,0,TRUE,TRUE,10.39966,7,9,5,5,9,9,9,85,85
P25,18,0,1,1,8,8,0,FALSE,TRUE,11.40193,8,8,5,5,9,9,9,90,90
P25,19,0,1,1,8,8,0,FALSE,TRUE,15.92675,8,8,5,5,9,9,9,95,95
P25,20,1,1,0,9,9,0,TRUE,TRUE,11.08177,9,7,5,5,9,9,9,100,100
P25,21,1,1,0,8,8,0,FALSE,TRUE,12.04199,8,8,5,5,9,9,9,105,105
P25,22,1,1,0,8,8,0,FALSE,TRUE,11.17919,8,8,5,5,9,9,9,110,110
P25,23,1,1,0,10,10,0,FALSE,TRUE,14.42324,10,6,5,5,9,9,9,115,115
P25,24,1,1,0,8,8,0,FALSE,TRUE,12.50072,8,8,5,5,9,9,9,120,120
P25,25,1,1,0,8,8,0,FALSE,TRUE,11.42913,8,8,5,5,9,9,9,125,125
P25,26,1,1,0,8,8,0,FALSE,TRUE,10.73352,8,8,5,5,9,9,9,130,130
P25,27,1,1,0,12,8,4,FALSE,TRUE,22.65009,8,8,5,5,9,9,9,135,135
P25,28,1,1,0,8,8,0,FALSE,TRUE,12.45992,8,8,5,5,9,9,9,140,140
P25,29,1,1,0,10,8,2,FALSE,TRUE,13.85197,8,8,5,5,9,9,9,145,145
P25,30,1,1,0,10,8,2,FALSE,TRUE,18.95939,8,8,5,5,9,9,5,150,150
P25,31,1,1,0,8,6,2,FALSE,TRUE,14.27011,6,10,5,5,7,9,7,155,155
P25,32,1,1,0,9,9,0,TRUE,TRUE,12.16766,9,7,5,5,9,9,9,160,160
P25,33,1,1,0,10,10,0,FALSE,TRUE,16.67867,10,6,5,5,9,9,9,165,165
P25,34,1,1,0,8,8,0,FALSE,TRUE,11.83379,8,8,5,5,9,9,9,170,170
P25,35,1,1,0,8,8,0,FALSE,TRUE,11.83403,8,8,5,5,9,9,9,175,175
P25,36,1,1,0,9,7,2,TRUE,TRUE,12.23778,7,9,5,5,9,9,9,180,180
