partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P03,0,0,1,0,8,4,4,False,False,23.01304,4,4,0,0,6,5,5,0,0
P03,1,0,1,0,10,6,4,False,False,23.01305,6,4,0,0,4,3,5,0,0
P03,2,0,1,0,8,6,2,False,False,23.01268,6,6,0,0,5,2,5,0,0
P03,3,0,1,0,7,5,2,True,True,19.68541,5,11,5,5,6,5,5,5,5
P03,4,0,1,0,8,8,0,False,True,20.96612,8,8,5,5,7,6,5,10,10
P03,5,0,1,0,6,6,0,False,True,16.79006,6,10,5,5,7,7,8,15,15
P03,6,0,1,0,8,6,2,False,False,23.01346,4,6,0,0,5,7,5,15,15
P03,7,0,1,0,10,6,4,False,True,19.76943,6,10,5,5,8,8,8,20,20
P03,8,0,1,0,12,6,6,False,False,23.01235,6,4,0,0,6,5,5,20,20
P03,9,0,1,0,8,6,2,False,True,15.27216,6,10,5,5,6,7,8,25,25
P03,10,0,1,0,10,6,4,False,True,18.09853,6,10,5,5,8,8,8,30,30
P03,11,0,1,0,12,4,8,False,False,23.01314,4,8,0,0,4,3,5,30,30
P03,12,0,1,0,8,6,2,False,True,20.92413,6,10,5,5,6,4,6,35,35
P03,13,0,1,0,10,4,6,False,True,20.32601,4,12,5,5,7,6,7,40,40
P03,14,0,1,0,10,4,6,False,False,23.01254,2,10,0,0,5,2,5,40,40
P03,15,0,1,0,10,8,2,False,False,23.01312,8,2,0,0,2,5,4,40,40
P03,16,0,1,0,10,6,4,False,True,21.18918,6,10,5,5,7,6,3,45,45
P03,17,0,1,0,8,8,0,False,True,14.84052,8,8,5,5,4,7,8,50,50
P03,18,0,1,0,10,8,2,False,True,21.46733,8,8,5,5,8,8,8,55,55
P03,19,0,1,0,8,6,2,False,True,17.73643,6,10,5,5,7,8,8,60,60
P03,20,1,0,0,10,8,2,False,True,17.51324,8,8,5,5,7,7,8,65,65
P03,21,1,0,0,10,8,2,False,True,19.56054,8,8,5,5,8,4,9,70,70
P03,22,1,0,0,12,6,6,False,True,21.59324,6,10,3,7,7,3,9,73,77
P03,23,1,0,0,10,10,0,False,True,19.29524,10,6,7,3,4,2,8,80,80
P03,24,1,0,0,12,6,6,False,True,23.01266,6,10,3,7,5,3,5,83,87
P03,25,1,0,0,10,6,4,False,True,18.97522,6,10,3,7,7,4,7,86,94
P03,26,1,0,0,12,6,6,False,True,22.90118,6,10,3,7,6,3,8,89,101
P03,27,1,0,0,10,6,4,False,True,17.83332,6,10,3,7,5,5,4,92,108
P03,28,1,0,0,10,6,4,False,False,23.01275,6,4,0,0,4,3,5,92,108
P03,29,1,0,0,10,8,2,False,True,16.69202,8,8,5,5,7,7,7,97,113
P03,30,1,0,0,10,10,0,False,True,18.22495,10,6,7,3,3,6,8,104,116
P03,31,1,0,0,12,6,6,False,True,22.2469,6,10,3,7,7,3,7,107,123
P03,32,1,0,0,12,8,4,False,True,22.78998,8,8,5,5,8,6,8,112,128
P03,33,1,0,0,9,9,0,True,True,18.48824,9,7,6,4,8,7,8,118,132
P03,34,1,0,0,8,8,0,False,True,16.6088,8,8,5,5,5,7,8,123,137
P03,35,1,0,0,8,8,0,False,True,13.85205,8,8,5,5,8,8,9,128,142
P03,36,1,0,0,8,6,2,False,True,18.34927,6,10,3,7,7,6,9,131,149
P03,37,1,0,0,8,6,2,False,True,19.62914,6,10,3,7,7,7,8,134,156
P03,38,1,0,0,14,8,6,False,False,23.01306,6,4,0,0,5,2,7,134,156
P03,39,1,0,0,11,5,6,True,True,18.53019,5,11,3,7,5,3,8,137,163
P03,40,2,1,1,12,8,4,False,True,20.70144,8,8,5,5,8,7,8,142,168
P03,41,2,1,1,12,8,4,False,True,22.59477,8,8,5,5,7,8,8,147,173
P03,42,2,1,1,10,8,2,False,True,18.7108,8,8,5,5,7,8,8,152,178
P03,43,2,1,1,12,8,4,False,True,20.92471,8,8,5,5,8,9,7,157,183
P03,44,2,1,1,10,6,4,False,True,21.50889,6,10,5,5,7,7,8,162,188
P03,45,2,1,1,10,8,2,False,True,21.46728,8,8,5,5,6,7,9,167,193
P03,46,2,1,1,8,8,0,False,True,15.77303,8,8,5,5,8,8,8,172,198
P03,47,2,1,1,12,8,4,False,False,23.01269,8,4,0,0,4,5,6,172,198
P03,48,2,1,1,12,8,4,False,True,21.48099,8,8,5,5,5,7,8,177,203
P03,49,2,1,1,12,6,6,False,False,23.01228,4,4,0,0,5,3,7,177,203
P03,50,2,1,1,10,8,2,False,True,19.86671,8,8,5,5,7,8,8,182,208
P03,51,2,1,1,8,8,0,False,True,13.39247,8,8,5,5,8,8,8,187,213
P03,52,2,1,1,12,8,4,False,True,21.64821,8,8,5,5,6,7,8,192,218
P03,53,2,1,1,8,8,0,False,True,14.47885,8,8,5,5,8,9,8,197,223
P03,54,2,1,1,8,8,0,False,True,14.3534,8,8,5,5,9,9,9,202,228
P03,55,2,1,1,8,8,0,False,True,13.40615,8,8,5,5,9,8,9,207,233
P03,56,2,1,1,10,8,2,False,True,17.20903,8,8,5,5,9,7,9,212,238
P03,57,2,1,1,8,8,0,False,True,12.64056,8,8,5,5,9,8,9,217,243
P03,58,2,1,1,8,8,0,False,True,12.72418,8,8,5,5,9,7,9,222,248
P03,59,2,1,1,8,8,0,False,True,11.42998,8,8,5,5,8,8,9,227,253
P03,60,3,0,1,10,8,2,False,True,15.68976,8,8,5,5,7,7,9,232,258
P03,61,3,0,1,10,8,2,False,True,17.62522,8,8,5,5,8,7,9,237,263
P03,62,3,0,1,8,8,0,False,True,10.78915,8,8,5,5,7,7,8,242,268
P03,63,3,0,1,8,8,0,False,True,10.73347,8,8,5,5,8,7,9,247,273
P03,64,3,0,1,10,8,2,False,True,13.15546,8,8,5,5,9,7,9,252,278
P03,65,3,0,1,10,8,2,False,True,15.59198,8,8,5,5,9,8,4,257,283
P03,66,3,0,1,8,8,0,False,True,15.31356,8,8,5,5,9,7,8,262,288
P03,67,3,0,1,10,10,0,False,True,18.98974,10,6,7,3,7,4,5,269,291
P03,68,3,0,1,8,6,2,False,True,15.60508,6,10,3,7,8,8,8,272,298
P03,69,3,0,1,10,8,2,False,True,15.45411,8,8,5,5,8,5,8,277,303
P03,70,3,0,1,10,8,2,False,True,17.81959,8,8,5,5,8,6,8,282,308
P03,71,3,0,1,8,8,0,False,True,12.34771,8,8,5,5,9,6,8,287,313
P03,72,3,0,1,8,6,2,False,True,13.65664,6,10,3,7,8,8,8,290,320
P03,73,3,0,1,8,8,0,False,True,12.66837,8,8,5,5,8,5,8,295,325
P03,74,3,0,1,8,8,0,False,True,16.26045,8,8,5,5,8,7,7,300,330
P03,75,3,0,1,10,8,2,False,True,17.55439,8,8,5,5,7,4,5,305,335
P03,76,3,0,1,8,8,0,False,True,14.11645,8,8,5,5,8,8,8,310,340
P03,77,3,0,1,8,8,0,False,True,11.37371,8,8,5,5,8,5,9,315,345
P03,78,3,0,1,8,8,0,False,True,12.20907,8,8,5,5,7,8,8,320,350
P03,79,3,0,1,10,10,0,False,True,14.67332,10,6,7,3,7,6,8,327,353
