partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P17,0,0,1,1,12,4,8,False,False,23.0126,4,8,0,0,4,4,6,0,0
P17,1,0,1,1,12,6,6,False,False,23.0134,4,6,0,0,5,3,6,0,0
P17,2,0,1,1,8,8,0,False,True,21.48152,8,8,5,5,7,7,6,5,5
P17,3,0,1,1,10,4,6,False,False,23.01389,4,10,0,0,6,4,6,5,5
P17,4,0,1,1,12,8,4,False,False,23.01388,6,6,0,0,6,6,6,5,5
P17,5,0,1,1,12,6,6,False,False,23.01301,6,6,0,0,4,6,6,5,5
P17,6,0,1,1,10,8,2,False,False,23.01378,8,4,0,0,6,4,6,5,5
P17,7,0,1,1,8,8,0,False,False,23.01391,8,4,0,0,5,3,4,5,5
P17,8,0,1,1,10,8,2,False,True,18.97429,8,8,5,5,7,6,6,10,10
P17,9,0,1,1,10,6,4,False,True,17.45879,6,10,5,5,6,6,6,15,15
P17,10,0,1,1,12,8,4,False,True,23.01291,8,8,5,5,6,6,6,20,20
P17,11,0,1,1,12,10,2,False,True,21.50859,10,6,5,5,6,6,6,25,25
P17,12,0,1,1,10,8,2,False,True,21.14704,8,8,5,5,7,7,6,30,30
P17,13,0,1,1,8,8,0,False,True,15.00831,8,8,5,5,7,6,7,35,35
P17,14,0,1,1,8,8,0,False,True,23.00597,8,8,5,5,5,4,6,40,40
P17,15,0,1,1,12,4,8,False,False,23.01213,2,10,0,0,6,4,5,40,40
P17,16,0,1,1,8,8,0,False,True,15.74487,8,8,5,5,6,4,6,45,45
P17,17,0,1,1,10,10,0,False,True,22.65104,10,6,5,5,6,7,7,50,50
P17,18,0,1,1,14,10,4,False,True,22.88675,10,6,5,5,6,6,4,55,55
P17,19,0,1,1,8,8,0,False,True,14.35328,8,8,5,5,7,7,7,60,60
P17,20,1,1,0,10,8,2,False,False,23.01204,8,4,0,0,6,4,4,60,60
P17,21,1,1,0,8,8,0,False,True,15.43986,8,8,5,5,4,4,6,65,65
P17,22,1,1,0,10,8,2,False,True,17.40134,8,8,5,5,7,7,1,70,70
P17,23,1,1,0,8,8,0,False,True,10.76181,8,8,5,5,8,7,7,75,75
P17,24,1,1,0,10,8,2,False,True,16.14963,8,8,5,5,6,6,6,80,80
P17,25,1,1,0,9,7,2,True,True,14.36529,7,9,5,5,5,4,5,85,85
P17,26,1,1,0,10,8,2,False,True,15.17531,8,8,5,5,6,6,6,90,90
P17,27,1,1,0,12,10,2,False,True,19.35137,10,6,5,5,4,6,4,95,95
P17,28,1,1,0,10,8,2,False,True,14.21297,8,8,5,5,7,7,7,100,100
P17,29,1,1,0,10,8,2,False,True,15.05083,8,8,5,5,6,6,6,105,105
P17,30,1,1,0,10,8,2,False,True,14.25571,8,8,5,5,6,7,7,110,110
P17,31,1,1,0,10,10,0,False,True,15.96064,8,8,5,5,7,7,7,115,115
P17,32,1,1,0,8,8,0,False,True,10.10925,8,8,5,5,7,7,7,120,120
P17,33,1,1,0,8,8,0,False,True,11.79131,8,8,5,5,7,7,7,125,125
P17,34,1,1,0,10,8,2,False,True,13.39388,8,8,5,5,6,7,7,130,130
P17,35,1,1,0,10,10,0,False,True,15.73191,10,6,5,5,7,7,5,135,135
P17,36,1,1,0,11,7,4,True,True,14.11712,7,9,5,5,6,6,6,140,140
P17,37,1,1,0,8,8,0,False,True,11.86252,8,8,5,5,7,7,7,145,145
P17,38,1,1,0,8,8,0,False,True,12.94734,8,8,5,5,7,7,7,150,150
P17,39,1,1,0,8,8,0,False,True,10.24555,8,8,5,5,7,7,7,155,155
P17,40,2,0,1,10,8,2,False,True,16.12007,8,8,5,5,7,4,6,160,160
P17,41,2,0,1,14,10,4,False,True,20.36038,10,6,7,3,6,4,6,167,163
P17,42,2,0,1,12,8,4,False,True,18.58623,8,8,5,5,6,4,6,172,168
P17,43,2,0,1,12,10,2,False,True,17.24772,10,6,7,3,5,4,6,179,171
P17,44,2,0,1,8,8,0,False,True,10.46914,8,8,5,5,7,7,7,184,176
P17,45,2,0,1,10,8,2,False,True,12.8077,8,8,5,5,6,4,6,189,181
P17,46,2,0,1,10,8,2,False,True,20.77166,8,8,5,5,5,7,6,194,186
P17,47,2,0,1,8,8,0,False,True,10.90071,8,8,5,5,7,7,7,199,191
P17,48,2,0,1,11,11,0,True,True,12.00127,9,7,6,4,6,4,6,205,195
P17,49,2,0,1,15,9,6,True,True,20.4381,9,7,6,4,6,4,6,211,199
P17,50,2,0,1,16,10,6,False,True,23.01342,10,6,7,3,5,4,6,218,202
P17,51,2,0,1,12,8,4,False,True,19.39438,8,8,5,5,6,6,6,223,207
P17,52,2,0,1,11,7,4,True,True,14.13086,7,9,4,6,6,4,6,227,213
P17,53,2,0,1,12,10,2,False,True,17.72141,10,6,7,3,6,4,6,234,216
P17,54,2,0,1,9,9,0,True,True,11.02655,9,7,6,4,6,6,6,240,220
P17,55,2,0,1,8,8,0,False,True,10.78902,8,8,5,5,6,6,6,245,225
P17,56,2,0,1,10,10,0,False,True,12.73047,10,6,7,3,6,6,6,252,228
P17,57,2,0,1,8,8,0,False,True,10.94349,8,8,5,5,6,6,6,257,233
P17,58,2,0,1,8,8,0,False,True,10.81836,8,8,5,5,6,7,7,262,238
P17,59,2,0,1,12,4,8,False,True,18.58461,4,12,2,8,6,4,6,264,246
P17,60,3,0,0,8,8,0,False,True,13.42066,8,8,5,5,6,4,6,269,251
P17,61,3,0,0,10,8,2,False,True,12.93337,8,8,5,5,6,6,6,274,256
P17,62,3,0,0,12,8,4,False,True,16.73259,8,8,5,5,6,4,6,279,261
P17,63,3,0,0,8,6,2,False,True,12.74032,6,10,3,7,6,4,6,282,268
P17,64,3,0,0,8,8,0,False,True,12.50178,8,8,5,5,6,6,6,287,273
P17,65,3,0,0,8,8,0,False,True,10.40349,8,8,5,5,6,6,6,292,278
P17,66,3,0,0,8,8,0,False,True,10.66279,8,8,5,5,6,7,7,297,283
P17,67,3,0,0,8,8,0,False,True,11.42982,8,8,5,5,7,7,7,302,288
P17,68,3,0,0,9,9,0,True,True,10.78873,9,7,6,4,6,4,7,308,292
P17,69,3,0,0,10,8,2,False,True,12.73868,8,8,5,5,7,4,7,313,297
P17,70,3,0,0,8,8,0,False,True,11.1659,8,8,5,5,7,7,7,318,302
P17,71,3,0,0,11,7,4,True,True,13.8525,7,9,4,6,6,7,7,322,308
P17,72,3,0,0,9,9,0,True,True,11.10998,9,7,6,4,6,7,7,328,312
P17,73,3,0,0,8,8,0,False,True,10.48245,8,8,5,5,7,7,7,333,317
P17,74,3,0,0,9,7,2,True,True,10.60828,7,9,4,6,6,4,7,337,323
P17,75,3,0,0,12,10,2,False,True,17.09849,10,6,7,3,7,3,7,344,326
P17,76,3,0,0,10,8,2,False,True,12.89218,8,8,5,5,7,7,7,349,331
P17,77,3,0,0,10,6,4,False,True,16.02213,6,10,3,7,7,4,7,352,338
P17,78,3,0,0,12,6,6,False,True,18.34872,6,10,3,7,7,4,7,355,345
P17,79,3,0,0,10,10,0,False,True,16.62304,10,6,7,3,6,7,7,362,348
