partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P15,0,0,0,1,10,8,2,FALSE,TRUE,21.86982,8,8,5,5,5,4,6,5,5
P15,1,0,0,1,12,4,8,FALSE,FALSE,23.01393,4,2,0,0,5,4,5,5,5
P15,2,0,0,1,14,4,10,FALSE,FALSE,23.01237,2,2,0,0,4,5,5,5,5
P15,3,0,0,1,12,8,4,FALSE,TRUE,22.92707,8,8,5,5,5,5,6,10,10
P15,4,0,0,1,12,6,6,FALSE,FALSE,23.00022,6,4,0,0,4,4,5,10,10
P15,5,0,0,1,14,8,6,FALSE,FALSE,23.01234,6,6,0,0,5,4,4,10,10
P15,6,0,0,1,12,8,4,FALSE,FALSE,23.01185,8,4,0,0,5,4,5,10,10
P15,7,0,0,1,12,6,6,FALSE,FALSE,23.01128,6,4,0,0,5,4,5,10,10
P15,8,0,0,1,10,8,2,FALSE,TRUE,16.84556,8,8,5,5,7,7,6,15,15
P15,9,0,0,1,12,6,6,FALSE,FALSE,23.01263,4,8,0,0,7,7,7,15,15
P15,10,0,0,1,9,7,2,TRUE,TRUE,16.74819,7,9,4,6,5,4,5,19,21
P15,11,0,0,1,13,11,2,TRUE,TRUE,20.98125,9,7,6,4,5,4,5,25,25
P15,12,0,0,1,10,10,0,FALSE,TRUE,18.07023,10,6,7,3,4,4,5,32,28
P15,13,0,0,1,12,8,4,FALSE,TRUE,22.68089,8,8,5,5,5,5,6,37,33
P15,14,0,0,1,10,10,0,FALSE,TRUE,13.90655,10,6,7,3,4,4,5,44,36
P15,15,0,0,1,12,8,4,FALSE,TRUE,22.32985,8,8,5,5,5,5,6,49,41
P15,16,0,0,1,11,9,2,TRUE,TRUE,17.80686,9,7,6,4,4,4,6,55,45
P15,17,0,0,1,6,6,0,TRUE,TRUE,19,7,9,4,6,5,5,5,59,51
P15,18,0,0,1,12,10,2,FALSE,TRUE,20.13174,10,6,7,3,5,5,6,66,54
P15,19,0,0,1,8,8,0,FALSE,TRUE,13.12774,8,8,5,5,5,5,6,71,59
P15,20,1,1,1,12,8,4,FALSE,FALSE,23.00052,8,4,0,0,5,6,6,71,59
P15,21,1,1,1,10,8,2,FALSE,TRUE,20.33999,8,8,5,5,6,6,6,76,64
P15,22,1,1,1,10,8,2,FALSE,TRUE,17.59675,8,8,5,5,7,7,7,81,69
P15,23,1,1,1,9,7,2,TRUE,TRUE,14.7728,7,9,5,5,7,7,7,86,74
P15,24,1,1,1,10,10,0,FALSE,TRUE,15.91335,10,6,5,5,7,7,7,91,79
P15,25,1,1,1,12,8,4,FALSE,TRUE,22.17857,8,8,5,5,7,7,7,96,84
P15,26,1,1,1,8,8,0,FALSE,TRUE,15.74445,8,8,5,5,7,7,7,101,89
P15,27,1,1,1,10,8,2,FALSE,TRUE,17.76304,8,8,5,5,7,7,7,106,94
P15,28,1,1,1,10,8,2,FALSE,TRUE,16.69235,8,8,5,5,7,7,7,111,99
P15,29,1,1,1,10,8,2,FALSE,TRUE,16.92744,8,8,5,5,7,7,7,116,104
P15,30,1,1,1,14,10,4,FALSE,TRUE,20.97903,10,6,5,5,7,7,7,121,109
