partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P11,0,0,1,0,12,8,4,FALSE,TRUE,21.73188,8,8,5,5,7,6,9,5,5
P11,1,0,1,0,8,8,0,FALSE,TRUE,14.50724,8,8,5,5,7,8,8,10,10
P11,2,0,1,0,10,4,6,FALSE,FALSE,23.0132,4,8,0,0,5,5,6,10,10
P11,3,0,1,0,8,8,0,FALSE,TRUE,13.4345,8,8,5,5,6,9,9,15,15
P11,4,0,1,0,10,8,2,FALSE,TRUE,17.43007,8,8,5,5,9,8,9,20,20
P11,5,0,1,0,12,8,4,FALSE,FALSE,23.01355,8,4,0,0,4,6,5,20,20
P11,6,0,1,0,12,8,4,FALSE,TRUE,22.76164,8,8,5,5,9,9,3,25,25
P11,7,0,1,0,12,12,0,FALSE,TRUE,21.07754,12,4,5,5,3,4,3,30,30
P11,8,0,1,0,12,8,4,FALSE,TRUE,20.85333,8,8,5,5,4,6,4,35,35
P11,9,0,1,0,9,9,0,TRUE,TRUE,14.42279,9,7,5,5,6,6,4,40,40
P11,10,0,1,0,12,10,2,FALSE,TRUE,20.67444,10,6,5,5,4,4,4,45,45
P11,11,0,1,0,10,10,0,FALSE,TRUE,17.45371,10,6,5,5,3,3,4,50,50
P11,12,0,1,0,8,6,2,FALSE,TRUE,15.34205,6,10,5,5,6,7,5,55,55
P11,13,0,1,0,11,9,2,TRUE,TRUE,15.50963,9,7,5,5,4,5,4,60,60
P11,14,0,1,0,11,7,4,TRUE,TRUE,16.09094,7,9,5,5,5,6,6,65,65
P11,15,0,1,0,12,4,8,FALSE,FALSE,23.01133,4,8,0,0,1,1,5,65,65
P11,16,0,1,0,10,10,0,FALSE,TRUE,15.60635,10,6,5,5,3,3,4,70,70
P11,17,0,1,0,12,8,4,FALSE,FALSE,23.01179,6,6,0,0,1,1,1,70,70
P11,18,0,1,0,10,10,0,FALSE,TRUE,16.87301,10,6,5,5,4,4,4,75,75
P11,19,0,1,0,12,10,2,FALSE,TRUE,17.78852,10,6,5,5,3,3,3,80,80
P11,20,1,0,0,10,8,2,FALSE,TRUE,16.56632,8,8,5,5,9,7,9,85,85
P11,21,1,0,0,14,10,4,FALSE,TRUE,23.01349,10,6,7,3,1,1,1,92,88
P11,22,1,0,0,12,8,4,FALSE,TRUE,20.60497,8,8,5,5,6,6,5,97,93
P11,23,1,0,0,10,4,6,FALSE,FALSE,23.01238,4,4,0,0,4,4,4,97,93
P11,24,1,0,0,11,11,0,TRUE,TRUE,15.25813,11,5,7,3,1,1,8,104,96
P11,25,1,0,0,8,8,0,FALSE,TRUE,15.89645,8,8,5,5,7,7,5,109,101
P11,26,1,0,0,10,8,2,FALSE,TRUE,15.8563,8,8,5,5,7,7,8,114,106
P11,27,1,0,0,12,10,2,FALSE,TRUE,22.30062,10,6,7,3,4,4,6,121,109
