partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P29,0,0,0,0,10,10,0,FALSE,TRUE,14.63166,10,6,7,3,3,1,9,7,3
P29,1,0,0,0,13,9,4,TRUE,TRUE,17.01264,9,7,6,4,5,1,9,13,7
P29,2,0,0,0,12,8,4,FALSE,TRUE,21.9549,8,8,5,5,7,2,9,18,12
P29,3,0,0,0,14,6,8,FALSE,FALSE,23.01227,6,6,0,0,6,1,9,18,12
P29,4,0,0,0,14,8,6,FALSE,FALSE,23.01279,8,4,0,0,7,1,8,18,12
P29,5,0,0,0,12,8,4,FALSE,TRUE,18.19514,8,8,5,5,8,3,9,23,17
P29,6,0,0,0,12,12,0,FALSE,TRUE,16.27508,12,4,8,2,1,1,8,31,19
P29,7,0,0,0,12,8,4,FALSE,TRUE,18.293,8,8,5,5,9,1,9,36,24
P29,8,0,0,0,12,8,4,FALSE,TRUE,18.37682,8,8,5,5,9,1,9,41,29
P29,9,0,0,0,14,8,6,FALSE,TRUE,19.63033,8,8,5,5,9,1,9,46,34
P29,10,0,0,0,12,8,4,FALSE,TRUE,21.64759,8,8,5,5,9,1,9,51,39
P29,11,0,0,0,12,8,4,FALSE,TRUE,20.11716,8,8,5,5,9,1,9,56,44
P29,12,0,0,0,14,10,4,FALSE,TRUE,20.92425,10,6,7,3,9,1,9,63,47
P29,13,0,0,0,14,10,4,FALSE,TRUE,23.01265,10,6,7,3,9,1,9,70,50
P29,14,0,0,0,14,10,4,FALSE,TRUE,19.86603,10,6,7,3,7,1,9,77,53
P29,15,0,0,0,14,10,4,FALSE,TRUE,18.11199,10,6,7,3,8,1,9,84,56
P29,16,0,0,0,12,10,2,FALSE,TRUE,17.73293,10,6,7,3,7,1,9,91,59
P29,17,0,0,0,14,8,6,FALSE,FALSE,23.01127,8,6,0,0,8,1,8,91,59
P29,18,0,0,0,10,8,2,FALSE,TRUE,14.68741,8,8,5,5,9,1,9,96,64
P29,19,0,0,0,10,8,2,FALSE,TRUE,14.58979,8,8,5,5,9,1,9,101,69
P29,20,1,0,1,8,8,0,FALSE,TRUE,14.72853,8,8,5,5,9,1,9,106,74
P29,21,1,0,1,10,8,2,FALSE,TRUE,16.33004,8,8,5,5,9,1,9,111,79
P29,22,1,0,1,12,10,2,FALSE,TRUE,16.1491,10,6,7,3,9,1,9,118,82
P29,23,1,0,1,12,10,2,FALSE,TRUE,17.36067,10,6,7,3,9,1,9,125,85
P29,24,1,0,1,10,10,0,FALSE,TRUE,15.50892,10,6,7,3,9,1,9,132,88
P29,25,1,0,1,12,10,2,FALSE,TRUE,16.74841,10,6,7,3,9,1,9,139,91
P29,26,1,0,1,14,8,6,FALSE,TRUE,22.74881,8,8,5,5,9,1,9,144,96
P29,27,1,0,1,15,5,10,TRUE,TRUE,22.67795,5,11,3,7,9,1,9,147,103
P29,28,1,0,1,10,8,2,FALSE,TRUE,14.06002,8,8,5,5,9,1,9,152,108
P29,29,1,0,1,12,8,4,FALSE,TRUE,17.36055,8,8,5,5,9,1,9,157,113
P29,30,1,0,1,14,6,8,FALSE,TRUE,23.01239,6,10,3,7,9,1,8,160,120
P29,31,1,0,1,10,8,2,FALSE,TRUE,14.7291,8,8,5,5,9,1,9,165,125
P29,32,1,0,1,12,10,2,FALSE,FALSE,23.01298,10,2,0,0,7,1,9,165,125
P29,33,1,0,1,14,6,8,FALSE,FALSE,23.01282,6,6,0,0,9,1,9,165,125
P29,34,1,0,1,14,8,6,FALSE,TRUE,22.23271,8,8,5,5,9,1,9,170,130
P29,35,1,0,1,14,8,6,FALSE,TRUE,23.01202,8,8,5,5,9,1,9,175,135
P29,36,1,0,1,12,12,0,FALSE,TRUE,20.72986,12,4,8,2,9,1,9,183,137
P29,37,1,0,1,14,10,4,FALSE,TRUE,21.32795,10,6,7,3,8,1,9,190,140
P29,38,1,0,1,14,8,6,FALSE,TRUE,21.62039,8,8,5,5,9,1,9,195,145
P29,39,1,0,1,14,8,6,FALSE,TRUE,20.75759,8,8,5,5,1,9,9,200,150
P29,40,2,1,0,12,8,4,FALSE,TRUE,17.15191,8,8,5,5,9,4,9,205,155
P29,41,2,1,0,10,10,0,FALSE,TRUE,15.52269,10,6,5,5,9,9,5,210,160
P29,42,2,1,0,12,10,2,FALSE,TRUE,18.73893,10,6,5,5,9,5,4,215,165
P29,43,2,1,0,13,9,4,TRUE,TRUE,19.54594,9,7,5,5,9,6,5,220,170
P29,44,2,1,0,13,9,4,TRUE,TRUE,17.1652,9,7,5,5,9,6,9,225,175
P29,45,2,1,0,15,9,6,TRUE,TRUE,20.86873,9,7,5,5,9,7,6,230,180
P29,46,2,1,0,16,8,8,FALSE,FALSE,23.01286,6,4,0,0,9,7,9,230,180
P29,47,2,1,0,10,8,2,FALSE,TRUE,16.92897,8,8,5,5,9,8,9,235,185
P29,48,2,1,0,14,8,6,FALSE,TRUE,21.3005,8,8,5,5,9,9,9,240,190
P29,49,2,1,0,14,8,6,FALSE,FALSE,23.0132,8,2,0,0,9,9,9,240,190
P29,50,2,1,0,15,7,8,TRUE,TRUE,22.48399,7,9,5,5,9,9,9,245,195
P29,51,2,1,0,16,12,4,FALSE,TRUE,22.69217,12,4,5,5,9,9,9,250,200
P29,52,2,1,0,14,10,4,FALSE,TRUE,22.3308,10,6,5,5,9,9,9,255,205
P29,53,2,1,0,14,10,4,FALSE,TRUE,18.85047,10,6,5,5,7,8,7,260,210
P29,54,2,1,0,10,10,0,FALSE,TRUE,15.24437,10,6,5,5,9,8,8,265,215
P29,55,2,1,0,12,4,8,FALSE,FALSE,23.01314,4,8,0,0,9,8,9,265,215
P29,56,2,1,0,14,8,6,FALSE,TRUE,23.01267,8,8,5,5,8,9,8,270,220
P29,57,2,1,0,14,10,4,FALSE,TRUE,19.31011,10,6,5,5,9,9,9,275,225
P29,58,2,1,0,10,10,0,FALSE,TRUE,17.08189,10,6,5,5,9,9,9,280,230
P29,59,2,1,0,16,6,10,FALSE,TRUE,23.01287,6,10,5,5,9,9,9,285,235
P29,60,3,1,1,16,8,8,FALSE,TRUE,23.01236,8,8,5,5,9,8,9,290,240
P29,61,3,1,1,10,8,2,FALSE,TRUE,13.72684,8,8,5,5,9,9,9,295,245
P29,62,3,1,1,14,8,6,FALSE,TRUE,18.61345,8,8,5,5,9,9,9,300,250
P29,63,3,1,1,14,8,6,FALSE,TRUE,22.41389,8,8,5,5,9,9,9,305,255
P29,64,3,1,1,14,8,6,FALSE,FALSE,23.01096,8,4,0,0,9,9,8,305,255
P29,65,3,1,1,14,10,4,FALSE,TRUE,23.0129,10,6,5,5,9,9,6,310,260
P29,66,3,1,1,16,8,8,FALSE,FALSE,23.01277,8,4,0,0,9,7,4,310,260
P29,67,3,1,1,14,8,6,FALSE,TRUE,21.04967,8,8,5,5,3,8,4,315,265
P29,68,3,1,1,14,8,6,FALSE,TRUE,20.66004,8,8,5,5,9,9,9,320,270
P29,69,3,1,1,16,10,6,FALSE,FALSE,23.01296,10,2,0,0,9,9,1,320,270
P29,70,3,1,1,11,9,2,TRUE,TRUE,13.49052,9,7,5,5,9,9,9,325,275
P29,71,3,1,1,14,8,6,FALSE,TRUE,18.11209,8,8,5,5,9,8,7,330,280
P29,72,3,1,1,14,8,6,FALSE,TRUE,20.78558,8,8,5,5,7,9,8,335,285
P29,73,3,1,1,12,6,6,FALSE,TRUE,17.75022,6,10,5,5,9,8,8,340,290
P29,74,3,1,1,18,10,8,FALSE,FALSE,23.01256,8,4,0,0,5,6,6,340,290
P29,75,3,1,1,16,12,4,FALSE,TRUE,21.11937,12,4,5,5,5,6,6,345,295
P29,76,3,1,1,16,8,8,FALSE,FALSE,23.01275,8,4,0,0,4,6,4,345,295
P29,77,3,1,1,14,10,4,FALSE,TRUE,22.76195,10,6,5,5,4,6,4,350,300
P29,78,3,1,1,14,12,2,FALSE,TRUE,19.89425,12,4,5,5,4,6,6,355,305
P29,79,3,1,1,14,10,4,FALSE,TRUE,18.4324,10,6,5,5,6,6,4,360,310
