partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P09,0,0,1,1,14,10,4,FALSE,TRUE,23.01373,10,6,5,5,4,6,8,5,5
P09,1,0,1,1,12,6,6,FALSE,FALSE,23.01265,6,8,0,0,7,7,9,5,5
P09,2,0,1,1,10,8,2,FALSE,TRUE,18.19621,8,8,5,5,8,8,9,10,10
P09,3,0,1,1,9,7,2,TRUE,TRUE,14.33641,7,9,5,5,9,9,9,15,15
P09,4,0,1,1,11,9,2,TRUE,TRUE,18.40379,9,7,5,5,9,9,9,20,20
P09,5,0,1,1,10,6,4,FALSE,TRUE,18.13828,6,10,5,5,9,9,9,25,25
P09,6,0,1,1,10,8,2,FALSE,TRUE,17.1361,8,8,5,5,9,9,9,30,30
P09,7,0,1,1,8,8,0,FALSE,TRUE,12.7522,8,8,5,5,9,9,9,35,35
P09,8,0,1,1,10,8,2,FALSE,TRUE,15.13406,8,8,5,5,9,9,9,40,40
P09,9,0,1,1,8,8,0,FALSE,TRUE,13.36289,8,8,5,5,9,9,9,45,45
P09,10,0,1,1,9,9,0,TRUE,TRUE,12.7251,9,7,5,5,9,9,9,50,50
P09,11,0,1,1,8,8,0,FALSE,TRUE,11.77477,8,8,5,5,9,9,9,55,55
P09,12,0,1,1,9,7,2,TRUE,TRUE,13.862,7,9,5,5,9,9,9,60,60
P09,13,0,1,1,9,9,0,TRUE,TRUE,11.85802,9,7,5,5,9,9,9,65,65
P09,14,0,1,1,8,8,0,FALSE,TRUE,11.47162,8,8,5,5,9,9,9,70,70
P09,15,0,1,1,8,8,0,FALSE,TRUE,12.62509,8,8,5,5,9,9,9,75,75
P09,16,0,1,1,8,8,0,FALSE,TRUE,11.97677,8,8,5,5,9,9,9,80,80
P09,17,0,1,1,9,9,0,TRUE,TRUE,12.24226,9,7,5,5,9,9,9,85,85
P09,18,0,1,1,8,8,0,FALSE,TRUE,12.05523,8,8,5,5,9,9,9,90,90
P09,19,0,1,1,10,8,2,FALSE,TRUE,14.18487,8,8,5,5,9,9,9,95,95
P09,20,1,1,0,10,8,2,FALSE,TRUE,15.61777,8,8,5,5,9,9,9,100,100
P09,21,1,1,0,8,8,0,FALSE,TRUE,11.76437,8,8,5,5,9,9,9,105,105
P09,22,1,1,0,8,8,0,FALSE,TRUE,11.23434,8,8,5,5,9,9,9,110,110
P09,23,1,1,0,8,8,0,FALSE,TRUE,11.33164,8,8,5,5,9,9,9,115,115
P09,24,1,1,0,11,11,0,TRUE,TRUE,21.60776,11,5,5,5,9,9,9,120,120
P09,25,1,1,0,8,8,0,FALSE,TRUE,10.9442,8,8,5,5,9,9,9,125,125
P09,26,1,1,0,10,8,2,FALSE,TRUE,14.54476,8,8,5,5,9,9,9,130,130
P09,27,1,1,0,9,9,0,TRUE,TRUE,11.9318,9,7,5,5,9,9,9,135,135
P09,28,1,1,0,8,8,0,FALSE,TRUE,11.65257,8,8,5,5,9,9,9,140,140
P09,29,1,1,0,9,9,0,TRUE,TRUE,13.39227,9,7,5,5,9,9,9,145,145
P09,30,1,1,0,10,8,2,FALSE,TRUE,13.145,8,8,5,5,9,9,9,150,150
P09,31,1,1,0,8,8,0,FALSE,TRUE,11.54107,8,8,5,5,9,9,9,155,155
P09,32,1,1,0,8,8,0,FALSE,TRUE,17.96931,8,8,5,5,9,8,9,160,160
P09,33,1,1,0,8,8,0,FALSE,TRUE,11.22082,8,8,5,5,9,9,9,165,165
P09,34,1,1,0,10,6,4,FALSE,TRUE,15.7323,6,10,5,5,9,9,9,170,170
