partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P05,0,0,0,0,9,7,2,TRUE,TRUE,17.41553,7,9,4,6,3,3,6,4,6
P05,1,0,0,0,10,8,2,FALSE,TRUE,19.36471,8,8,5,5,6,6,8,9,11
P05,2,0,0,0,10,8,2,FALSE,TRUE,17.23556,8,8,5,5,8,8,9,14,16
P05,3,0,0,0,10,8,2,FALSE,TRUE,18.16828,8,8,5,5,9,9,9,19,21
P05,4,0,0,0,8,8,0,FALSE,TRUE,12.90323,8,8,5,5,9,9,9,24,26
P05,5,0,0,0,10,8,2,FALSE,TRUE,15.39717,8,8,5,5,9,9,9,29,31
P05,6,0,0,0,8,8,0,FALSE,TRUE,12.66908,8,8,5,5,9,9,9,34,36
P05,7,0,0,0,10,8,2,FALSE,TRUE,16.05185,8,8,5,5,9,9,9,39,41
P05,8,0,0,0,8,8,0,FALSE,TRUE,11.42992,8,8,5,5,9,9,9,44,46
P05,9,0,0,0,8,8,0,FALSE,TRUE,10.97002,8,8,5,5,9,9,9,49,51
P05,10,0,0,0,8,8,0,FALSE,TRUE,10.8446,8,8,5,5,9,9,9,54,56
P05,11,0,0,0,8,8,0,FALSE,TRUE,11.51274,8,8,5,5,9,9,9,59,61
P05,12,0,0,0,8,8,0,FALSE,TRUE,10.27414,8,8,5,5,9,9,9,64,66
P05,13,0,0,0,14,8,6,FALSE,TRUE,18.1953,8,8,5,5,9,9,9,69,71
P05,14,0,0,0,13,9,4,TRUE,TRUE,21.14601,9,7,6,4,9,9,9,75,75
P05,15,0,0,0,12,8,4,FALSE,TRUE,19.26764,8,8,5,5,9,9,9,80,80
P05,16,0,0,0,8,8,0,FALSE,TRUE,11.94468,8,8,5,5,9,9,9,85,85
P05,17,0,0,0,8,8,0,FALSE,TRUE,11.59644,8,8,5,5,9,9,9,90,90
P05,18,0,0,0,8,8,0,FALSE,TRUE,10.24556,8,8,5,5,9,9,9,95,95
P05,19,0,0,0,8,8,0,FALSE,TRUE,11.15137,8,8,5,5,9,9,9,100,100
P05,20,1,0,1,12,8,4,FALSE,TRUE,19.6433,8,8,5,5,9,9,9,105,105
P05,21,1,0,1,10,8,2,FALSE,TRUE,14.82958,8,8,5,5,9,9,9,110,110
P05,22,1,0,1,8,8,0,FALSE,TRUE,11.91678,8,8,5,5,9,9,9,115,115
P05,23,1,0,1,8,8,0,FALSE,TRUE,12.11129,8,8,5,5,9,9,9,120,120
P05,24,1,0,1,8,8,0,FALSE,TRUE,11.63834,8,8,5,5,9,9,9,125,125
