partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P04,0,0,1,0,10,4,6,False,False,23.01178,4,4,0,0,6,7,1,0,0
P04,1,0,1,0,10,4,6,False,False,23.01267,6,4,0,0,7,8,1,0,0
P04,2,0,1,0,12,8,4,False,False,23.01338,6,6,0,0,8,8,1,0,0
P04,3,0,1,0,13,11,2,True,True,19.67264,5,11,5,5,6,7,6,5,5
P04,4,0,1,0,12,8,4,False,True,20.93989,8,8,5,5,9,9,8,10,10
P04,5,0,1,0,12,10,2,False,True,16.79193,6,10,5,5,9,9,8,15,15
P04,6,0,1,0,16,8,8,False,False,23.01334,4,6,0,0,9,9,1,15,15
P04,7,0,1,0,12,10,2,False,True,19.77039,6,10,5,5,9,9,8,20,20
P04,8,0,1,0,14,4,10,False,False,23.01213,6,4,0,0,7,7,1,20,20
P04,9,0,1,0,10,10,0,False,True,15.30054,6,10,5,5,8,7,7,25,25
P04,10,0,1,0,12,10,2,False,True,18.09955,6,10,5,5,4,9,6,30,30
P04,11,0,1,0,14,8,6,False,False,23.01355,4,8,0,0,8,8,1,30,30
P04,12,0,1,0,14,10,4,False,True,20.91164,6,10,5,5,9,9,9,35,35
P04,13,0,1,0,12,12,0,False,True,20.34076,4,12,5,5,9,9,8,40,40
P04,14,0,1,0,14,10,4,False,False,23.01367,2,10,0,0,8,7,1,40,40
P04,15,0,1,0,16,2,14,False,False,23.0133,8,2,0,0,6,6,6,40,40
P04,16,0,1,0,14,10,4,False,True,21.21913,6,10,5,5,9,9,9,45,45
P04,17,0,1,0,10,8,2,False,True,14.87041,8,8,5,5,9,9,9,50,50
P04,18,0,1,0,10,8,2,False,True,21.48352,8,8,5,5,9,9,9,55,55
P04,19,0,1,0,12,10,2,False,True,17.72372,6,10,5,5,9,9,9,60,60
P04,20,1,0,0,10,8,2,False,True,17.50033,8,8,5,5,9,9,9,65,65
P04,21,1,0,0,12,8,4,False,True,19.54783,8,8,5,5,9,9,1,70,70
P04,22,1,0,0,12,10,2,False,True,21.59454,6,10,3,7,3,9,9,73,77
P04,23,1,0,0,12,6,6,False,True,19.29719,10,6,7,3,9,8,8,80,80
P04,24,1,0,0,14,10,4,False,True,23.0002,6,10,3,7,9,7,1,83,87
P04,25,1,0,0,14,10,4,False,True,18.976,6,10,3,7,9,4,9,86,94
P04,26,1,0,0,14,10,4,False,True,22.91566,6,10,3,7,4,3,9,89,101
P04,27,1,0,0,12,10,2,False,True,17.83482,6,10,3,7,3,4,9,92,108
P04,28,1,0,0,14,4,10,False,False,23.01305,6,4,0,0,7,3,2,92,108
P04,29,1,0,0,10,8,2,False,True,16.72068,8,8,5,5,9,9,9,97,113
P04,30,1,0,0,10,6,4,False,True,18.23866,10,6,7,3,8,8,8,104,116
P04,31,1,0,0,14,10,4,False,True,22.26207,6,10,3,7,3,9,9,107,123
P04,32,1,0,0,14,8,6,False,True,22.79134,8,8,5,5,9,4,9,112,128
P04,33,1,0,0,13,7,6,True,True,18.48796,9,7,6,4,9,3,9,118,132
P04,34,1,0,0,10,8,2,False,True,16.60951,8,8,5,5,9,9,9,123,137
P04,35,1,0,0,10,8,2,False,True,13.85247,8,8,5,5,9,9,9,128,142
P04,36,1,0,0,14,10,4,False,True,18.32186,6,10,3,7,3,4,9,131,149
P04,37,1,0,0,14,10,4,False,True,19.64398,6,10,3,7,3,9,9,134,156
P04,38,1,0,0,10,6,4,False,False,23.01345,6,4,0,0,9,3,1,134,156
P04,39,1,0,0,13,11,2,True,True,18.53065,5,11,3,7,3,3,9,137,163
P04,40,2,1,1,14,8,6,False,True,20.67401,8,8,5,5,9,9,9,142,168
P04,41,2,1,1,14,8,6,False,True,22.59639,8,8,5,5,9,9,9,147,173
P04,42,2,1,1,10,8,2,False,True,18.72589,8,8,5,5,9,9,9,152,178
P04,43,2,1,1,12,8,4,False,True,20.92498,8,8,5,5,9,9,9,157,183
P04,44,2,1,1,12,10,2,False,True,21.48306,6,10,5,5,9,9,8,162,188
P04,45,2,1,1,14,8,6,False,True,21.47028,8,8,5,5,9,9,9,167,193
P04,46,2,1,1,12,8,4,False,True,15.77307,8,8,5,5,8,9,9,172,198
P04,47,2,1,1,14,4,10,False,False,23.01356,8,4,0,0,8,6,1,172,198
P04,48,2,1,1,14,8,6,False,True,21.46744,8,8,5,5,8,8,8,177,203
P04,49,2,1,1,12,4,8,False,False,23.0126,4,4,0,0,8,8,9,177,203
P04,50,2,1,1,12,8,4,False,True,19.88104,8,8,5,5,9,9,9,182,208
P04,51,2,1,1,10,8,2,False,True,13.36637,8,8,5,5,9,9,9,187,213
