partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P27,0,0,1,0,10,4,6,False,False,23.01214,4,6,0,0,6,6,7,0,0
P27,1,0,1,0,12,4,8,False,False,23.01232,4,2,0,0,7,6,7,0,0
P27,2,0,1,0,12,8,4,False,False,23.01213,8,4,0,0,7,7,7,0,0
P27,3,0,1,0,12,8,4,False,False,23.01115,6,6,0,0,7,6,6,0,0
P27,4,0,1,0,12,8,4,False,False,23.01228,8,4,0,0,6,7,7,0,0
P27,5,0,1,0,12,8,4,False,True,18.68236,8,8,5,5,9,9,9,5,5
P27,6,0,1,0,8,8,0,False,True,13.44855,8,8,5,5,9,9,9,10,10
P27,7,0,1,0,12,8,4,False,False,23.01234,6,6,0,0,7,7,7,10,10
P27,8,0,1,0,10,8,2,False,True,18.71109,8,8,5,5,9,9,9,15,15
P27,9,0,1,0,12,10,2,False,True,19.56024,10,6,5,5,9,9,9,20,20
P27,10,0,1,0,12,6,6,False,False,23.01285,6,4,0,0,7,6,7,20,20
P27,11,0,1,0,10,10,0,False,True,16.26092,10,6,5,5,6,7,7,25,25
P27,12,0,1,0,12,10,2,False,False,23.01249,8,4,0,0,4,6,6,25,25
P27,13,0,1,0,10,8,2,False,True,17.19326,8,8,5,5,7,7,7,30,30
P27,14,0,1,0,10,8,2,False,True,18.61569,8,8,5,5,8,8,8,35,35
P27,15,0,1,0,12,4,8,False,False,23.01276,4,8,0,0,6,7,7,35,35
P27,16,0,1,0,10,8,2,False,True,15.41122,8,8,5,5,8,8,8,40,40
P27,17,0,1,0,10,8,2,False,True,15.78706,8,8,5,5,9,9,9,45,45
P27,18,0,1,0,10,4,6,False,False,23.01266,4,6,0,0,6,5,6,45,45
P27,19,0,1,0,12,8,4,False,True,19.28124,8,8,5,5,8,8,8,50,50
P27,20,1,0,0,10,8,2,False,True,17.29079,8,8,5,5,7,5,8,55,55
P27,21,1,0,0,8,4,4,False,False,23.01293,4,6,0,0,5,3,6,55,55
P27,22,1,0,0,10,8,2,False,True,18.97551,8,8,5,5,3,3,5,60,60
P27,23,1,0,0,12,10,2,False,True,19.17006,10,6,7,3,4,4,8,67,63
P27,24,1,0,0,14,8,6,False,True,22.55325,8,8,5,5,8,8,8,72,68
P27,25,1,0,0,10,8,2,False,True,17.05388,8,8,5,5,6,6,7,77,73
P27,26,1,0,0,12,4,8,False,False,23.01177,4,8,0,0,7,7,7,77,73
P27,27,1,0,0,10,10,0,False,True,18.39057,10,6,7,3,4,6,7,84,76
P27,28,1,0,0,10,8,2,False,True,14.78486,8,8,5,5,8,8,9,89,81
P27,29,1,0,0,14,6,8,False,False,23.0124,4,4,0,0,5,5,6,89,81
P27,30,1,0,0,10,8,2,False,True,18.43252,8,8,5,5,8,8,8,94,86
P27,31,1,0,0,10,6,4,False,False,23.01284,6,6,0,0,4,3,4,94,86
P27,32,1,0,0,10,10,0,False,True,15.28631,10,6,7,3,4,3,6,101,89
P27,33,1,0,0,10,8,2,False,True,17.4856,8,8,5,5,7,7,7,106,94
P27,34,1,0,0,10,8,2,False,True,18.33485,8,8,5,5,8,8,7,111,99
P27,35,1,0,0,12,6,6,False,True,20.89658,6,10,3,7,5,4,4,114,106
P27,36,1,0,0,8,6,2,False,True,15.91232,6,10,3,7,5,3,4,117,113
P27,37,1,0,0,12,6,6,False,True,21.8291,6,10,3,7,2,3,4,120,120
P27,38,1,0,0,12,4,8,False,False,23.01224,4,4,0,0,5,4,5,120,120
P27,39,1,0,0,10,10,0,False,True,19.17001,10,6,7,3,4,4,5,127,123
P27,40,2,1,1,10,4,6,False,True,22.73369,4,12,5,5,8,9,8,132,128
P27,41,2,1,1,10,8,2,False,True,18.65243,8,8,5,5,9,9,9,137,133
P27,42,2,1,1,10,10,0,False,True,18.22313,10,6,5,5,9,9,9,142,138
P27,43,2,1,1,8,6,2,False,True,15.71776,6,10,5,5,6,7,7,147,143
P27,44,2,1,1,8,6,2,False,True,14.82661,6,10,5,5,7,8,7,152,148
P27,45,2,1,1,12,8,4,False,True,23.01312,8,8,5,5,4,6,6,157,153
P27,46,2,1,1,14,6,8,False,False,23.01263,6,4,0,0,7,6,6,157,153
P27,47,2,1,1,12,8,4,False,True,20.31205,8,8,5,5,9,9,9,162,158
P27,48,2,1,1,12,6,6,False,False,23.01277,6,8,0,0,6,6,5,162,158
P27,49,2,1,1,14,8,6,False,True,23.01239,8,8,5,5,7,7,7,167,163
P27,50,2,1,1,8,8,0,False,True,13.71148,8,8,5,5,4,5,6,172,168
P27,51,2,1,1,12,10,2,False,True,19.25365,10,6,5,5,8,9,9,177,173
P27,52,2,1,1,12,6,6,False,True,19.67153,6,10,5,5,7,7,6,182,178
P27,53,2,1,1,10,10,0,False,True,16.77501,10,6,5,5,3,7,4,187,183
P27,54,2,1,1,8,8,0,False,True,14.01923,8,8,5,5,5,6,6,192,188
P27,55,2,1,1,10,8,2,False,True,17.38583,8,8,5,5,4,7,7,197,193
P27,56,2,1,1,12,8,4,False,False,23.01294,8,4,0,0,3,3,3,197,193
P27,57,2,1,1,14,10,4,False,True,22.26122,10,6,5,5,3,3,3,202,198
P27,58,2,1,1,10,10,0,False,True,16.88692,10,6,5,5,3,5,4,207,203
P27,59,2,1,1,12,8,4,False,True,18.87781,8,8,5,5,7,7,7,212,208
P27,60,3,0,1,11,7,4,True,True,14.6319,7,9,4,6,6,5,5,216,214
P27,61,3,0,1,10,8,2,False,True,16.60825,8,8,5,5,4,1,4,221,219
P27,62,3,0,1,12,8,4,False,True,18.34858,8,8,5,5,4,1,4,226,224
P27,63,3,0,1,12,6,6,False,True,18.29308,6,10,3,7,4,1,3,229,231
P27,64,3,0,1,11,7,4,True,True,15.57806,7,9,4,6,4,1,4,233,237
P27,65,3,0,1,10,6,4,False,True,18.39104,6,10,3,7,4,1,4,236,244
P27,66,3,0,1,10,10,0,False,True,15.46698,10,6,7,3,1,1,5,243,247
P27,67,3,0,1,10,8,2,False,True,14.63147,8,8,5,5,1,1,4,248,252
