partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P32,0,0,0,1,8,6,2,False,True,14.18713,10,6,7,3,3,2,2,7,3
P32,1,0,0,1,10,8,2,False,True,16.73495,8,8,5,5,3,3,7,12,8
P32,2,0,0,1,10,8,2,False,True,14.75857,8,8,5,5,3,2,7,17,13
P32,3,0,0,1,12,6,6,False,False,23.00269,4,6,0,0,3,2,7,17,13
P32,4,0,0,1,12,6,6,False,False,23.01521,6,6,0,0,3,3,7,17,13
P32,5,0,0,1,10,8,2,False,True,16.60702,8,8,5,5,3,3,7,22,18
P32,6,0,0,1,12,4,8,False,False,23.01255,6,4,0,0,3,2,6,22,18
P32,7,0,0,1,10,8,2,False,True,15.92828,8,8,5,5,2,2,8,27,23
P32,8,0,0,1,10,8,2,False,True,17.77918,8,8,5,5,4,3,7,32,28
P32,9,0,0,1,12,10,2,False,True,16.10819,6,10,3,7,2,2,8,35,35
P32,10,0,0,1,8,8,0,False,True,15.57891,8,8,5,5,2,2,7,40,40
P32,11,0,0,1,12,6,6,False,True,22.01081,10,6,7,3,2,2,7,47,43
P32,12,0,0,1,10,6,4,False,True,14.77099,10,6,7,3,2,2,7,54,46
P32,13,0,0,1,16,8,8,False,False,23.01371,6,6,0,0,2,2,8,54,46
P32,14,0,0,1,14,4,10,False,False,23.013,4,4,0,0,2,2,7,54,46
P32,15,0,0,1,14,8,6,False,False,23.01315,2,8,0,0,2,2,7,54,46
P32,16,0,0,1,16,10,6,False,True,23.01338,6,10,3,7,2,2,8,57,53
P32,17,0,0,1,11,7,4,True,True,16.13621,9,7,6,4,2,2,7,63,57
P32,18,0,0,1,8,8,0,False,True,11.65498,8,8,5,5,2,2,8,68,62
P32,19,0,0,1,15,9,6,True,True,20.54876,7,9,4,6,2,2,7,72,68
P32,20,1,1,1,14,8,6,False,True,22.91821,8,8,5,5,8,8,8,77,73
P32,21,1,1,1,10,6,4,False,True,21.28727,10,6,5,5,9,8,8,82,78
P32,22,1,1,1,12,6,6,False,False,23.00003,6,6,0,0,8,8,8,82,78
P32,23,1,1,1,12,8,4,False,True,23.00011,8,8,5,5,8,9,8,87,83
P32,24,1,1,1,16,10,6,False,False,23.0131,4,8,0,0,7,7,7,87,83
P32,25,1,1,1,10,8,2,False,True,15.80179,8,8,5,5,8,8,8,92,88
P32,26,1,1,1,10,10,0,False,True,18.73982,6,10,5,5,8,8,8,97,93
P32,27,1,1,1,12,10,2,False,True,18.99006,6,10,5,5,8,8,7,102,98
P32,28,1,1,1,12,8,4,False,True,17.97412,8,8,5,5,8,8,7,107,103
P32,29,1,1,1,10,4,6,False,False,23.00002,6,4,0,0,8,7,7,107,103
P32,30,1,1,1,10,6,4,False,True,19.90644,10,6,5,5,8,8,1,112,108
P32,31,1,1,1,12,8,4,False,True,19.18461,8,8,5,5,9,8,8,117,113
P32,32,1,1,1,10,8,2,False,True,18.35,8,8,5,5,8,8,8,122,118
P32,33,1,1,1,12,6,6,False,False,23.01313,4,6,0,0,8,7,6,122,118
P32,34,1,1,1,14,8,6,False,True,23.01311,8,8,5,5,9,8,8,127,123
P32,35,1,1,1,12,10,2,False,True,21.10609,6,10,5,5,8,7,8,132,128
P32,36,1,1,1,10,10,0,False,True,17.04163,6,10,5,5,8,8,8,137,133
P32,37,1,1,1,10,10,0,False,True,14.78606,6,10,5,5,8,8,7,142,138
P32,38,1,1,1,12,8,4,False,True,19.32441,8,8,5,5,8,8,8,147,143
P32,39,1,1,1,12,6,6,False,False,23.01292,6,6,0,0,8,7,8,147,143
P32,40,2,0,0,12,8,4,False,True,20.31283,8,8,5,5,2,2,7,152,148
P32,41,2,0,0,14,8,6,False,True,22.47153,8,8,5,5,2,1,7,157,153
P32,42,2,0,0,12,8,4,False,True,17.891,8,8,5,5,2,3,7,162,158
P32,43,2,0,0,12,8,4,False,True,19.81131,8,8,5,5,2,2,8,167,163
P32,44,2,0,0,16,12,4,False,True,21.78808,4,12,2,8,1,2,8,169,171
P32,45,2,0,0,12,8,4,False,False,23.00035,4,8,0,0,2,2,7,169,171
P32,46,2,0,0,8,8,0,False,True,12.3908,8,8,5,5,2,2,7,174,176
P32,47,2,0,0,12,10,2,False,True,19.67271,6,10,3,7,1,2,8,177,183
P32,48,2,0,0,12,6,6,False,False,23.01291,4,6,0,0,2,2,7,177,183
P32,49,2,0,0,14,10,4,False,True,20.95383,6,10,3,7,1,2,8,180,190
P32,50,2,0,0,10,6,4,False,True,15.74685,10,6,7,3,2,2,7,187,193
P32,51,2,0,0,10,8,2,False,True,16.30146,8,8,5,5,3,2,7,192,198
P32,52,2,0,0,10,8,2,False,True,19.00551,8,8,5,5,2,2,7,197,203
P32,53,2,0,0,14,6,8,False,True,23.01398,10,6,7,3,2,2,7,204,206
P32,54,2,0,0,8,8,0,False,True,12.53048,8,8,5,5,2,2,7,209,211
P32,55,2,0,0,10,6,4,False,True,19.49263,10,6,7,3,2,2,8,216,214
P32,56,2,0,0,12,10,2,False,True,16.27599,6,10,3,7,1,2,8,219,221
P32,57,2,0,0,10,6,4,False,True,20.8009,10,6,7,3,2,1,7,226,224
P32,58,2,0,0,8,6,2,False,True,14.02035,10,6,7,3,2,2,6,233,227
P32,59,2,0,0,12,8,4,False,True,18.9623,8,8,5,5,1,2,7,238,232
P32,60,3,1,0,10,8,2,False,True,17.19484,8,8,5,5,8,8,8,243,237
P32,61,3,1,0,10,8,2,False,True,19.49213,8,8,5,5,8,9,8,248,242
P32,62,3,1,0,8,8,0,False,True,13.88075,8,8,5,5,8,8,8,253,247
P32,63,3,1,0,10,8,2,False,True,17.89091,8,8,5,5,9,8,8,258,252
P32,64,3,1,0,10,8,2,False,True,23.01283,8,8,5,5,9,8,8,263,257
P32,65,3,1,0,12,8,4,False,False,23.01342,4,8,0,0,7,7,7,263,257
P32,66,3,1,0,12,10,2,False,True,18.08233,6,10,5,5,7,8,7,268,262
P32,67,3,1,0,12,8,4,False,True,18.141,8,8,5,5,8,8,8,273,267
P32,68,3,1,0,12,4,8,False,False,23.01257,8,4,0,0,7,7,7,273,267
P32,69,3,1,0,12,8,4,False,True,21.76097,8,8,5,5,8,8,8,278,272
P32,70,3,1,0,10,8,2,False,True,13.3521,8,8,5,5,8,8,8,283,277
P32,71,3,1,0,14,8,6,False,True,21.49656,8,8,5,5,8,8,8,288,282
P32,72,3,1,0,10,8,2,False,True,15.64966,8,8,5,5,8,8,8,293,287
P32,73,3,1,0,14,8,6,False,True,22.28989,8,8,5,5,8,8,8,298,292
P32,74,3,1,0,10,8,2,False,True,18.73792,8,8,5,5,8,8,8,303,297
P32,75,3,1,0,10,6,4,False,True,16.64987,10,6,5,5,9,9,8,308,302
P32,76,3,1,0,12,8,4,False,True,20.24181,8,8,5,5,8,8,8,313,307
P32,77,3,1,0,14,8,6,False,True,22.90316,8,8,5,5,9,9,8,318,312
P32,78,3,1,0,10,2,8,False,False,23.01362,8,2,0,0,6,6,7,318,312
P32,79,3,1,0,12,8,4,False,True,22.17687,8,8,5,5,8,8,8,323,317
