partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P30,0,0,0,0,8,6,2,FALSE,TRUE,14.61956,10,6,7,3,7,1,3,7,3
P30,1,0,0,0,9,7,2,TRUE,TRUE,17.01379,9,7,6,4,8,4,4,13,7
P30,2,0,0,0,10,8,2,FALSE,TRUE,21.91525,8,8,5,5,7,4,7,18,12
P30,3,0,0,0,12,6,6,FALSE,FALSE,23.01315,6,6,0,0,7,7,3,18,12
P30,4,0,0,0,12,6,6,FALSE,FALSE,23.00385,8,4,0,0,7,7,2,18,12
P30,5,0,0,0,10,8,2,FALSE,TRUE,18.19721,8,8,5,5,7,7,7,23,17
P30,6,0,0,0,8,4,4,FALSE,TRUE,16.2607,12,4,8,2,7,7,6,31,19
P30,7,0,0,0,10,8,2,FALSE,TRUE,18.32341,8,8,5,5,7,7,7,36,24
P30,8,0,0,0,10,8,2,FALSE,TRUE,18.36451,8,8,5,5,7,7,7,41,29
P30,9,0,0,0,12,8,4,FALSE,TRUE,19.60276,8,8,5,5,8,8,8,46,34
P30,10,0,0,0,12,8,4,FALSE,TRUE,21.66284,8,8,5,5,8,8,8,51,39
P30,11,0,0,0,10,8,2,FALSE,TRUE,20.09168,8,8,5,5,7,4,7,56,44
P30,12,0,0,0,10,6,4,FALSE,TRUE,20.91287,10,6,7,3,4,3,3,63,47
P30,13,0,0,0,12,6,6,FALSE,TRUE,23.00058,10,6,7,3,4,3,2,70,50
P30,14,0,0,0,12,6,6,FALSE,TRUE,19.85497,10,6,7,3,7,2,1,77,53
P30,15,0,0,0,8,6,2,FALSE,TRUE,18.12722,10,6,7,3,3,3,2,84,56
P30,16,0,0,0,10,6,4,FALSE,TRUE,17.71108,10,6,7,3,3,2,2,91,59
P30,17,0,0,0,12,6,6,FALSE,FALSE,23.01346,8,6,0,0,7,2,1,91,59
P30,18,0,0,0,8,8,0,FALSE,TRUE,14.67473,8,8,5,5,7,7,8,96,64
P30,19,0,0,0,8,8,0,FALSE,TRUE,14.59142,8,8,5,5,8,8,8,101,69
P30,20,1,0,1,8,8,0,FALSE,TRUE,14.72963,8,8,5,5,8,8,8,106,74
P30,21,1,0,1,10,8,2,FALSE,TRUE,16.33107,8,8,5,5,8,8,8,111,79
P30,22,1,0,1,8,6,2,FALSE,TRUE,16.15004,10,6,7,3,8,7,1,118,82
P30,23,1,0,1,10,6,4,FALSE,TRUE,17.36113,10,6,7,3,8,8,2,125,85
P30,24,1,0,1,10,6,4,FALSE,TRUE,15.51111,10,6,7,3,8,8,1,132,88
P30,25,1,0,1,10,6,4,FALSE,TRUE,16.74906,10,6,7,3,6,7,1,139,91
P30,26,1,0,1,14,8,6,FALSE,TRUE,22.74932,8,8,5,5,8,8,8,144,96
P30,27,1,0,1,15,11,4,TRUE,TRUE,22.67936,5,11,3,7,7,8,7,147,103
P30,28,1,0,1,8,8,0,FALSE,TRUE,14.09116,8,8,5,5,9,9,9,152,108
P30,29,1,0,1,10,8,2,FALSE,TRUE,17.37587,8,8,5,5,8,8,8,157,113
P30,30,1,0,1,12,10,2,FALSE,TRUE,23.00077,6,10,3,7,8,3,8,160,120
P30,31,1,0,1,10,8,2,FALSE,TRUE,14.73096,8,8,5,5,8,8,8,165,125
P30,32,1,0,1,12,2,10,FALSE,FALSE,23.01356,10,2,0,0,4,3,5,165,125
P30,33,1,0,1,10,6,4,FALSE,FALSE,23.00068,6,6,0,0,4,3,5,165,125
P30,34,1,0,1,12,8,4,FALSE,TRUE,22.2493,8,8,5,5,8,8,9,170,130
P30,35,1,0,1,14,8,6,FALSE,TRUE,23.0001,8,8,5,5,8,8,9,175,135
P30,36,1,0,1,12,4,8,FALSE,TRUE,20.74411,12,4,8,2,4,8,1,183,137
P30,37,1,0,1,12,6,6,FALSE,TRUE,21.32913,10,6,7,3,8,8,1,190,140
P30,38,1,0,1,14,8,6,FALSE,TRUE,21.63503,8,8,5,5,8,8,8,195,145
P30,39,1,0,1,12,8,4,FALSE,TRUE,20.77343,8,8,5,5,8,8,8,200,150
P30,40,2,1,0,10,8,2,FALSE,TRUE,17.13809,8,8,5,5,8,7,9,205,155
P30,41,2,1,0,10,6,4,FALSE,TRUE,15.55111,10,6,5,5,7,7,9,210,160
P30,42,2,1,0,10,6,4,FALSE,TRUE,18.71193,10,6,5,5,4,4,9,215,165
P30,43,2,1,0,11,7,4,TRUE,TRUE,19.56119,9,7,5,5,4,4,8,220,170
P30,44,2,1,0,11,7,4,TRUE,TRUE,17.15201,9,7,5,5,6,6,7,225,175
