partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P12,0,0,1,0,10,8,2,FALSE,TRUE,21.73353,8,8,5,5,5,3,6,5,5
P12,1,0,1,0,8,8,0,FALSE,TRUE,14.50747,8,8,5,5,3,2,5,10,10
P12,2,0,1,0,14,10,4,FALSE,FALSE,23.01342,4,8,0,0,1,1,1,10,10
P12,3,0,1,0,8,8,0,FALSE,TRUE,13.42113,8,8,5,5,5,4,6,15,15
P12,4,0,1,0,10,8,2,FALSE,TRUE,17.43095,8,8,5,5,5,4,5,20,20
P12,5,0,1,0,12,6,6,FALSE,FALSE,23.0108,8,4,0,0,5,1,1,20,20
P12,6,0,1,0,12,8,4,FALSE,TRUE,22.74911,8,8,5,5,4,2,4,25,25
P12,7,0,1,0,12,4,8,FALSE,TRUE,21.06433,12,4,5,5,7,1,3,30,30
P12,8,0,1,0,10,8,2,FALSE,TRUE,20.84271,8,8,5,5,2,2,5,35,35
P12,9,0,1,0,9,7,2,TRUE,TRUE,14.42349,9,7,5,5,5,1,5,40,40
P12,10,0,1,0,10,6,4,FALSE,TRUE,20.66047,10,6,5,5,5,4,5,45,45
P12,11,0,1,0,8,6,2,FALSE,TRUE,17.48732,10,6,5,5,6,3,5,50,50
P12,12,0,1,0,10,10,0,FALSE,TRUE,15.37005,6,10,5,5,4,4,5,55,55
P12,13,0,1,0,9,7,2,TRUE,TRUE,15.62079,9,7,5,5,6,5,5,60,60
P12,14,0,1,0,11,11,0,TRUE,TRUE,16.06571,7,9,5,5,6,5,5,65,65
P12,15,0,1,0,10,8,2,FALSE,FALSE,23.01279,4,8,0,0,3,2,3,65,65
P12,16,0,1,0,8,6,2,FALSE,TRUE,15.59325,10,6,5,5,6,4,4,70,70
P12,17,0,1,0,12,6,6,FALSE,FALSE,23.01309,6,6,0,0,4,4,2,70,70
P12,18,0,1,0,10,6,4,FALSE,TRUE,16.86069,10,6,5,5,6,5,4,75,75
