partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P13,0,0,0,0,14,10,4,FALSE,FALSE,23.00041,10,4,0,0,1,1,4,0,0
P13,1,0,0,0,12,8,4,FALSE,FALSE,23.01323,8,2,0,0,1,1,4,0,0
P13,2,0,0,0,10,8,2,FALSE,TRUE,17.56933,8,8,5,5,4,4,5,5,5
P13,3,0,0,0,10,8,2,FALSE,TRUE,14.9795,8,8,5,5,6,6,5,10,10
P13,4,0,0,0,15,9,6,TRUE,TRUE,19.9498,9,7,6,4,5,5,6,16,14
P13,5,0,0,0,14,8,6,FALSE,FALSE,23.01321,6,4,0,0,1,3,3,16,14
P13,6,0,0,0,12,10,2,FALSE,TRUE,18.62774,10,6,7,3,4,6,7,23,17
P13,7,0,0,0,10,10,0,FALSE,TRUE,18.27041,10,6,7,3,5,6,7,30,20
P13,8,0,0,0,14,2,12,FALSE,FALSE,23.0132,2,6,0,0,4,4,4,30,20
P13,9,0,0,0,8,8,0,FALSE,TRUE,14.97919,8,8,5,5,4,5,6,35,25
P13,10,0,0,0,11,9,2,TRUE,TRUE,18.0844,9,7,6,4,4,5,6,41,29
P13,11,0,0,0,11,9,2,TRUE,TRUE,17.40289,9,7,6,4,5,6,6,47,33
P13,12,0,0,0,12,8,4,FALSE,TRUE,22.88787,8,8,5,5,6,6,6,52,38
P13,13,0,0,0,12,10,2,FALSE,TRUE,18.44739,10,6,7,3,5,6,6,59,41
P13,14,0,0,0,12,6,6,FALSE,TRUE,21.04906,6,10,3,7,6,6,6,62,48
P13,15,0,0,0,10,10,0,FALSE,TRUE,16.16431,10,6,7,3,5,6,7,69,51
P13,16,0,0,0,14,10,4,FALSE,TRUE,22.69302,10,6,7,3,6,7,7,76,54
P13,17,0,0,0,10,10,0,FALSE,TRUE,16.46991,10,6,7,3,7,7,7,83,57
P13,18,0,0,0,10,10,0,FALSE,TRUE,14.68755,10,6,7,3,7,7,8,90,60
P13,19,0,0,0,10,8,2,FALSE,TRUE,15.46163,8,8,5,5,6,7,7,95,65
P13,20,1,0,1,14,10,4,FALSE,TRUE,23.01257,10,6,7,3,5,5,5,102,68
P13,21,1,0,1,10,10,0,FALSE,TRUE,15.13239,10,6,7,3,7,7,8,109,71
P13,22,1,0,1,12,10,2,FALSE,TRUE,19.12948,10,6,7,3,7,7,8,116,74
P13,23,1,0,1,14,8,6,FALSE,TRUE,21.58214,8,8,5,5,7,7,8,121,79
P13,24,1,0,1,10,8,2,FALSE,TRUE,16.77689,8,8,5,5,8,8,8,126,84
P13,25,1,0,1,12,8,4,FALSE,TRUE,19.54656,8,8,5,5,8,8,8,131,89
P13,26,1,0,1,10,8,2,FALSE,TRUE,14.82714,8,8,5,5,8,8,8,136,94
P13,27,1,0,1,12,6,6,FALSE,TRUE,23.01311,6,10,3,7,7,7,7,139,101
P13,28,1,0,1,10,8,2,FALSE,TRUE,20.46457,8,8,5,5,8,8,8,144,106
P13,29,1,0,1,10,8,2,FALSE,TRUE,20.85483,8,8,5,5,9,9,8,149,111
P13,30,1,0,1,8,8,0,FALSE,TRUE,13.48924,8,8,5,5,8,8,8,154,116
P13,31,1,0,1,10,8,2,FALSE,TRUE,17.13814,8,8,5,5,9,9,9,159,121
P13,32,1,0,1,8,8,0,FALSE,TRUE,13.93578,8,8,5,5,9,9,9,164,126
P13,33,1,0,1,8,8,0,FALSE,TRUE,12.87702,8,8,5,5,9,9,9,169,131
P13,34,1,0,1,10,10,0,FALSE,TRUE,15.34127,10,6,7,3,9,9,9,176,134
P13,35,1,0,1,12,8,4,FALSE,TRUE,18.34835,8,8,5,5,9,9,9,181,139
P13,36,1,0,1,8,8,0,FALSE,TRUE,13.28215,8,8,5,5,8,9,8,186,144
P13,37,1,0,1,14,6,8,FALSE,FALSE,23.01254,4,4,0,0,7,3,3,186,144
P13,38,1,0,1,12,10,2,FALSE,TRUE,20.48701,10,6,7,3,8,6,8,193,147
P13,39,1,0,1,10,10,0,FALSE,TRUE,18.26546,10,6,7,3,8,5,8,200,150
P13,40,2,1,0,10,6,4,FALSE,TRUE,17.16541,6,10,5,5,6,7,7,205,155
P13,41,2,1,0,10,8,2,FALSE,TRUE,14.95285,8,8,5,5,8,8,8,210,160
P13,42,2,1,0,12,6,6,FALSE,FALSE,23.01337,6,6,0,0,7,7,7,210,160
P13,43,2,1,0,12,8,4,FALSE,TRUE,21.77413,8,8,5,5,8,8,7,215,165
P13,44,2,1,0,14,10,4,FALSE,TRUE,22.76185,10,6,5,5,7,7,8,220,170
P13,45,2,1,0,10,8,2,FALSE,TRUE,18.3073,8,8,5,5,8,8,9,225,175
P13,46,2,1,0,10,6,4,FALSE,TRUE,18.72528,6,10,5,5,8,8,9,230,180
P13,47,2,1,0,12,6,6,FALSE,FALSE,23.01347,4,8,0,0,3,4,5,230,180
P13,48,2,1,0,10,10,0,FALSE,TRUE,19.81113,10,6,5,5,8,8,8,235,185
P13,49,2,1,0,12,8,4,FALSE,FALSE,23.01185,6,6,0,0,4,7,6,235,185
P13,50,2,1,0,10,8,2,FALSE,TRUE,18.75274,8,8,5,5,9,9,9,240,190
P13,51,2,1,0,12,10,2,FALSE,TRUE,20.61955,10,6,5,5,9,9,9,245,195
P13,52,2,1,0,12,10,2,FALSE,TRUE,19.00295,10,6,5,5,8,8,5,250,200
P13,53,2,1,0,14,10,4,FALSE,TRUE,23.00648,10,6,5,5,8,8,5,255,205
P13,54,2,1,0,10,8,2,FALSE,TRUE,16.49666,8,8,5,5,9,9,9,260,210
P13,55,2,1,0,10,8,2,FALSE,TRUE,15.24412,8,8,5,5,9,9,9,265,215
P13,56,2,1,0,12,8,4,FALSE,FALSE,23.01292,8,4,0,0,8,8,5,265,215
P13,57,2,1,0,12,8,4,FALSE,TRUE,23.01229,8,8,5,5,7,7,7,270,220
P13,58,2,1,0,10,8,2,FALSE,TRUE,14.72958,8,8,5,5,9,9,9,275,225
P13,59,2,1,0,10,8,2,FALSE,TRUE,17.98765,8,8,5,5,8,8,8,280,230
P13,60,3,1,1,10,10,0,FALSE,TRUE,13.90145,10,6,5,5,9,9,9,285,235
P13,61,3,1,1,10,8,2,FALSE,TRUE,14.10261,8,8,5,5,9,9,9,290,240
P13,62,3,1,1,12,10,2,FALSE,FALSE,23.01237,10,2,0,0,7,7,4,290,240
P13,63,3,1,1,10,10,0,FALSE,TRUE,15.10708,10,6,5,5,9,9,9,295,245
P13,64,3,1,1,16,12,4,FALSE,FALSE,23.01184,10,0,0,0,9,9,3,295,245
P13,65,3,1,1,10,8,2,FALSE,TRUE,15.11978,8,8,5,5,9,9,9,300,250
P13,66,3,1,1,12,10,2,FALSE,TRUE,17.43034,10,6,5,5,9,9,9,305,255
P13,67,3,1,1,12,8,4,FALSE,TRUE,18.80729,8,8,5,5,9,9,9,310,260
P13,68,3,1,1,14,10,4,FALSE,TRUE,22.2745,10,6,5,5,9,9,9,315,265
P13,69,3,1,1,12,12,0,FALSE,TRUE,17.15147,12,4,5,5,9,9,4,320,270
P13,70,3,1,1,10,8,2,FALSE,TRUE,15.56425,8,8,5,5,8,9,8,325,275
P13,71,3,1,1,12,10,2,FALSE,TRUE,18.12614,10,6,5,5,9,9,9,330,280
P13,72,3,1,1,8,8,0,FALSE,TRUE,12.86286,8,8,5,5,9,9,9,335,285
P13,73,3,1,1,10,8,2,FALSE,TRUE,14.35304,8,8,5,5,9,9,9,340,290
P13,74,3,1,1,12,10,2,FALSE,TRUE,19.31105,10,6,5,5,9,9,9,345,295
P13,75,3,1,1,12,8,4,FALSE,TRUE,19.08535,8,8,5,5,9,9,9,350,300
P13,76,3,1,1,10,6,4,FALSE,TRUE,17.03449,6,10,5,5,9,9,9,355,305
P13,77,3,1,1,14,10,4,FALSE,TRUE,23.01357,10,6,5,5,9,9,4,360,310
P13,78,3,1,1,10,6,4,FALSE,TRUE,18.2799,6,10,5,5,9,9,9,365,315
P13,79,3,1,1,14,8,6,FALSE,TRUE,23.01198,8,8,5,5,8,8,8,370,320
