partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P08,0,0,0,1,12,6,6,FALSE,FALSE,23.01279,8,4,0,0,5,7,9,0,0
P08,1,0,0,1,9,5,4,TRUE,TRUE,17.76548,11,5,7,3,6,6,9,7,3
P08,2,0,0,1,6,6,0,FALSE,FALSE,23.00088,6,6,0,0,3,3,9,7,3
P08,3,0,0,1,9,7,2,TRUE,TRUE,17.93173,9,7,6,4,7,8,9,13,7
P08,4,0,0,1,14,8,6,FALSE,FALSE,23.01326,6,6,0,0,1,5,9,13,7
P08,5,0,0,1,9,9,0,TRUE,TRUE,15.886,7,9,4,6,3,5,9,17,13
P08,6,0,0,1,9,7,2,TRUE,TRUE,14.04837,9,7,6,4,3,4,9,23,17
P08,7,0,0,1,7,7,0,TRUE,TRUE,16.88778,9,7,6,4,5,5,9,29,21
P08,8,0,0,1,11,7,4,TRUE,TRUE,21.92703,9,7,6,4,7,7,9,35,25
P08,9,0,0,1,12,6,6,FALSE,FALSE,23.01354,6,4,0,0,4,3,9,35,25
P08,10,0,0,1,9,5,4,TRUE,TRUE,16.6103,11,5,7,3,4,4,9,42,28
P08,11,0,0,1,10,6,4,FALSE,FALSE,23.01336,8,4,0,0,3,5,9,42,28
P08,12,0,0,1,9,5,4,TRUE,TRUE,16.47048,11,5,7,3,7,7,9,49,31
P08,13,0,0,1,9,9,0,TRUE,TRUE,21.73359,7,9,4,6,4,9,9,53,37
P08,14,0,0,1,9,5,4,TRUE,TRUE,20.7872,11,5,7,3,5,7,9,60,40
P08,15,0,0,1,7,5,2,TRUE,TRUE,14.52188,11,5,7,3,4,7,9,67,43
P08,16,0,0,1,7,7,0,TRUE,TRUE,16.0125,9,7,6,4,7,7,9,73,47
P08,17,0,0,1,7,7,0,TRUE,TRUE,12.60014,9,7,6,4,8,9,9,79,51
P08,18,0,0,1,7,5,2,TRUE,TRUE,16.63684,11,5,7,3,3,4,9,86,54
P08,19,0,0,1,9,7,2,TRUE,TRUE,15.02205,9,7,6,4,5,5,9,92,58
P08,20,1,1,1,11,7,4,TRUE,TRUE,21.38451,9,7,5,5,7,7,7,97,63
P08,21,1,1,1,10,8,2,FALSE,TRUE,21.96961,8,8,5,5,6,6,9,102,68
