partiNumber,trialNumber,blockNumber,rewardType,handShow,pairClickCount,successCount,failCount,stalemate,gameClear,playTime,P1_realPoints,P2_realPoints,P1_earnedPoints,P2_earnedPoints,FOC,competitiveness,rewardFairness, P1_accScore, P2_accScore
P16,0,0,0,1,10,8,2,FALSE,TRUE,21.82965,8,8,5,5,7,2,7,5,5
P16,1,0,0,1,8,2,6,FALSE,FALSE,23.01493,4,2,0,0,6,2,6,5,5
P16,2,0,0,1,8,4,4,FALSE,FALSE,23.01221,2,2,0,0,5,1,4,5,5
P16,3,0,0,1,10,8,2,FALSE,TRUE,22.94413,8,8,5,5,8,6,6,10,10
P16,4,0,0,1,6,4,2,FALSE,FALSE,23.0131,6,4,0,0,5,4,5,10,10
P16,5,0,0,1,8,6,2,FALSE,FALSE,23.00025,6,6,0,0,5,3,5,10,10
P16,6,0,0,1,8,4,4,FALSE,FALSE,23.01289,8,4,0,0,5,4,5,10,10
P16,7,0,0,1,8,6,2,FALSE,FALSE,23.01355,6,4,0,0,5,3,5,10,10
P16,8,0,0,1,8,8,0,FALSE,TRUE,16.82959,8,8,5,5,3,8,8,15,15
P16,9,0,0,1,10,8,2,FALSE,FALSE,23.00047,4,8,0,0,4,3,4,15,15
P16,10,0,0,1,9,9,0,TRUE,TRUE,16.73538,7,9,4,6,3,4,7,19,21
P16,11,0,0,1,11,7,4,TRUE,TRUE,21.00501,9,7,6,4,5,1,6,25,25
P16,12,0,0,1,8,6,2,FALSE,TRUE,18.11286,10,6,7,3,7,4,7,32,28
P16,13,0,0,1,8,8,0,FALSE,TRUE,22.7075,8,8,5,5,6,4,5,37,33
P16,14,0,0,1,6,6,0,FALSE,TRUE,13.90856,10,6,7,3,5,3,4,44,36
P16,15,0,0,1,8,8,0,FALSE,TRUE,22.34618,8,8,5,5,6,3,5,49,41
P16,16,0,0,1,9,7,2,TRUE,TRUE,17.83407,9,7,6,4,5,2,5,55,45
P16,17,0,0,1,8,8,0,TRUE,TRUE,19,7,9,4,6,4,3,5,59,51
P16,18,0,0,1,8,6,2,FALSE,TRUE,20.10427,10,6,7,3,6,4,6,66,54
P16,19,0,0,1,8,8,0,FALSE,TRUE,13.12901,8,8,5,5,6,6,6,71,59
P16,20,1,1,1,12,6,6,FALSE,FALSE,23.00009,8,4,0,0,6,4,5,71,59
P16,21,1,1,1,12,8,4,FALSE,TRUE,20.34034,8,8,5,5,6,4,7,76,64
P16,22,1,1,1,8,8,0,FALSE,TRUE,17.58411,8,8,5,5,4,6,7,81,69
P16,23,1,1,1,9,9,0,TRUE,TRUE,14.82455,7,9,5,5,6,7,1,86,74
P16,24,1,1,1,8,6,2,FALSE,TRUE,15.88511,10,6,5,5,5,6,6,91,79
P16,25,1,1,1,8,8,0,FALSE,TRUE,22.17806,8,8,5,5,6,4,6,96,84
P16,26,1,1,1,8,8,0,FALSE,TRUE,15.74578,8,8,5,5,8,6,6,101,89
P16,27,1,1,1,8,8,0,FALSE,TRUE,17.75036,8,8,5,5,6,6,6,106,94
P16,28,1,1,1,8,8,0,FALSE,TRUE,16.67824,8,8,5,5,7,7,7,111,99
P16,29,1,1,1,8,8,0,FALSE,TRUE,16.93052,8,8,5,5,7,7,8,116,104
P16,30,1,1,1,8,6,2,FALSE,TRUE,20.96538,10,6,5,5,5,4,5,121,109
P16,31,1,1,1,8,8,0,FALSE,TRUE,14.57668,8,8,5,5,7,7,8,126,114
P16,32,1,1,1,8,8,0,FALSE,TRUE,16.12212,8,8,5,5,7,7,7,131,119
P16,33,1,1,1,8,8,0,FALSE,TRUE,14.60354,8,8,5,5,7,7,8,136,124
P16,34,1,1,1,8,6,2,FALSE,TRUE,21.89972,10,6,5,5,6,4,5,141,129
P16,35,1,1,1,9,9,0,TRUE,TRUE,14.92441,7,9,5,5,8,8,8,146,134
P16,36,1,1,1,10,8,2,FALSE,TRUE,18.57138,8,8,5,5,8,7,8,151,139
P16,37,1,1,1,8,8,0,FALSE,TRUE,12.80543,8,8,5,5,8,8,8,156,144
P16,38,1,1,1,8,8,0,FALSE,TRUE,15.99599,8,8,5,5,8,8,7,161,149
P16,39,1,1,1,8,8,0,FALSE,TRUE,15.07661,8,8,5,5,8,8,8,166,154
P16,40,2,0,0,11,11,0,TRUE,TRUE,16.58015,7,9,4,6,4,3,7,170,160
P16,41,2,0,0,8,8,0,TRUE,TRUE,19,7,9,4,6,4,2,5,174,166
P16,42,2,0,0,8,8,0,FALSE,TRUE,12.1971,8,8,5,5,6,7,7,179,171
P16,43,2,0,0,10,8,2,FALSE,TRUE,16.52535,8,8,5,5,7,7,7,184,176
